"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-07 09:59:25,32.2%
2025-04-07 09:59:30,31.6%
2025-04-07 09:59:35,33.9%
2025-04-07 09:59:40,32.4%
2025-04-07 09:59:45,34.2%
2025-04-07 09:59:50,32.5%
2025-04-07 09:59:55,33.8%
2025-04-07 10:00:00,32.5%
2025-04-07 10:00:05,34.7%
2025-04-07 10:00:10,31.7%
2025-04-07 10:00:15,32.3%
2025-04-07 10:00:20,33.4%
2025-04-07 10:00:25,32.2%
2025-04-07 10:00:30,34.1%
2025-04-07 10:00:35,32.9%
2025-04-07 10:00:40,35.2%
2025-04-07 10:00:45,32.1%
2025-04-07 10:00:50,35.3%
2025-04-07 10:00:55,32.0%
2025-04-07 10:01:00,32.5%
2025-04-07 10:01:05,33.1%
2025-04-07 10:01:10,31.5%
2025-04-07 10:01:15,32.8%
2025-04-07 10:01:20,31.5%
2025-04-07 10:01:25,32.8%
2025-04-07 10:01:30,32.1%
2025-04-07 10:01:35,34.6%
2025-04-07 10:01:40,31.8%
2025-04-07 10:01:45,32.7%
2025-04-07 10:01:50,33.6%
2025-04-07 10:01:55,31.5%
2025-04-07 10:02:00,35.1%
2025-04-07 10:02:05,32.9%
2025-04-07 10:02:10,34.5%
2025-04-07 10:02:15,33.7%
2025-04-07 10:02:20,34.4%
2025-04-07 10:02:25,33.5%
2025-04-07 10:02:30,33.3%
2025-04-07 10:02:35,34.2%
2025-04-07 10:02:40,32.7%
2025-04-07 10:02:45,35.1%
2025-04-07 10:02:50,33.2%
2025-04-07 10:02:55,34.0%
2025-04-07 10:03:00,31.2%
2025-04-07 10:03:05,33.2%
2025-04-07 10:03:10,34.7%
2025-04-07 10:03:15,32.6%
2025-04-07 10:03:20,35.6%
2025-04-07 10:03:25,32.3%
2025-04-07 10:03:30,32.4%
2025-04-07 10:03:35,33.8%
2025-04-07 10:03:40,32.3%
2025-04-07 10:03:45,34.1%
2025-04-07 10:03:50,32.4%
2025-04-07 10:03:55,34.2%
2025-04-07 10:04:00,32.8%
2025-04-07 10:04:05,34.9%
2025-04-07 10:04:10,32.4%
2025-04-07 10:04:15,34.9%
2025-04-07 10:04:20,32.1%
2025-04-07 10:04:25,33.0%
