"Time","GraphQL server"
2025-04-07 10:19:40,30.5%
2025-04-07 10:19:45,31.3%
2025-04-07 10:19:50,32.7%
2025-04-07 10:19:55,33.9%
2025-04-07 10:20:00,31.1%
2025-04-07 10:20:05,32.3%
2025-04-07 10:20:10,32.7%
2025-04-07 10:20:15,32.0%
2025-04-07 10:20:20,32.6%
2025-04-07 10:20:25,31.8%
2025-04-07 10:20:30,34.1%
2025-04-07 10:20:35,32.7%
2025-04-07 10:20:40,32.4%
2025-04-07 10:20:45,30.5%
2025-04-07 10:20:50,33.5%
2025-04-07 10:20:55,31.6%
2025-04-07 10:21:00,32.8%
2025-04-07 10:21:05,31.1%
2025-04-07 10:21:10,34.0%
2025-04-07 10:21:15,31.5%
2025-04-07 10:21:20,34.2%
2025-04-07 10:21:25,31.8%
2025-04-07 10:21:30,34.1%
2025-04-07 10:21:35,31.5%
2025-04-07 10:21:40,36.3%
2025-04-07 10:21:45,31.8%
2025-04-07 10:21:50,34.2%
2025-04-07 10:21:55,32.5%
2025-04-07 10:22:00,36.3%
2025-04-07 10:22:05,32.3%
2025-04-07 10:22:10,32.7%
2025-04-07 10:22:15,33.4%
2025-04-07 10:22:20,32.0%
2025-04-07 10:22:25,35.0%
2025-04-07 10:22:30,32.2%
2025-04-07 10:22:35,34.9%
2025-04-07 10:22:40,31.5%
2025-04-07 10:22:45,35.1%
2025-04-07 10:22:50,32.2%
2025-04-07 10:22:55,33.2%
2025-04-07 10:23:00,34.5%
2025-04-07 10:23:05,32.5%
2025-04-07 10:23:10,34.5%
2025-04-07 10:23:15,31.8%
2025-04-07 10:23:20,35.9%
2025-04-07 10:23:25,31.6%
2025-04-07 10:23:30,35.7%
2025-04-07 10:23:35,31.8%
2025-04-07 10:23:40,32.9%
2025-04-07 10:23:45,35.5%
2025-04-07 10:23:50,32.1%
2025-04-07 10:23:55,34.8%
2025-04-07 10:24:00,31.8%
2025-04-07 10:24:05,35.5%
2025-04-07 10:24:10,32.4%
2025-04-07 10:24:15,33.0%
2025-04-07 10:24:20,34.7%
2025-04-07 10:24:25,33.3%
2025-04-07 10:24:30,35.1%
2025-04-07 10:24:35,32.7%
2025-04-07 10:24:40,35.5%
