"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 10:50:50,79.7%
2025-04-07 10:50:55,79.1%
2025-04-07 10:51:00,81.3%
2025-04-07 10:51:05,79.0%
2025-04-07 10:51:10,80.1%
2025-04-07 10:51:15,79.6%
2025-04-07 10:51:20,79.9%
2025-04-07 10:51:25,78.8%
2025-04-07 10:51:30,79.2%
2025-04-07 10:51:35,78.9%
2025-04-07 10:51:40,80.4%
2025-04-07 10:51:45,81.7%
2025-04-07 10:51:50,80.3%
2025-04-07 10:51:55,79.3%
2025-04-07 10:52:00,77.5%
2025-04-07 10:52:05,80.4%
2025-04-07 10:52:10,79.4%
2025-04-07 10:52:15,78.8%
2025-04-07 10:52:20,80.2%
2025-04-07 10:52:25,79.0%
2025-04-07 10:52:30,77.2%
2025-04-07 10:52:35,80.2%
2025-04-07 10:52:40,81.6%
2025-04-07 10:52:45,80.4%
2025-04-07 10:52:50,78.6%
2025-04-07 10:52:55,80.0%
2025-04-07 10:53:00,78.9%
2025-04-07 10:53:05,79.0%
2025-04-07 10:53:10,80.1%
2025-04-07 10:53:15,79.9%
2025-04-07 10:53:20,79.0%
2025-04-07 10:53:25,81.2%
2025-04-07 10:53:30,80.6%
2025-04-07 10:53:35,78.7%
2025-04-07 10:53:40,79.1%
2025-04-07 10:53:45,80.5%
2025-04-07 10:53:50,80.2%
2025-04-07 10:53:55,80.8%
2025-04-07 10:54:00,80.4%
2025-04-07 10:54:05,76.4%
2025-04-07 10:54:10,80.8%
2025-04-07 10:54:15,79.3%
2025-04-07 10:54:20,80.3%
2025-04-07 10:54:25,80.0%
2025-04-07 10:54:30,81.8%
2025-04-07 10:54:35,79.8%
2025-04-07 10:54:40,78.3%
2025-04-07 10:54:45,79.7%
2025-04-07 10:54:50,80.1%
2025-04-07 10:54:55,78.4%
2025-04-07 10:55:00,80.2%
2025-04-07 10:55:05,80.0%
2025-04-07 10:55:10,79.6%
2025-04-07 10:55:15,80.5%
2025-04-07 10:55:20,80.4%
2025-04-07 10:55:25,80.5%
2025-04-07 10:55:30,79.3%
2025-04-07 10:55:35,80.6%
2025-04-07 10:55:40,79.1%
2025-04-07 10:55:45,79.9%
2025-04-07 10:55:50,76.5%
