"Time","Grouped CPU Load"
2025-04-07 10:57:05,79.1%
2025-04-07 10:57:10,72.8%
2025-04-07 10:57:15,73.6%
2025-04-07 10:57:20,63.3%
2025-04-07 10:57:25,73.7%
2025-04-07 10:57:30,75.6%
2025-04-07 10:57:35,72.0%
2025-04-07 10:57:40,69.1%
2025-04-07 10:57:45,74.7%
2025-04-07 10:57:50,71.9%
2025-04-07 10:57:55,67.6%
2025-04-07 10:58:00,68.0%
2025-04-07 10:58:05,76.0%
2025-04-07 10:58:10,73.2%
2025-04-07 10:58:15,72.8%
2025-04-07 10:58:20,74.2%
2025-04-07 10:58:25,80.2%
2025-04-07 10:58:30,77.0%
2025-04-07 10:58:35,80.1%
2025-04-07 10:58:40,81.6%
2025-04-07 10:58:45,80.8%
2025-04-07 10:58:50,79.9%
2025-04-07 10:58:55,79.5%
2025-04-07 10:59:00,77.3%
2025-04-07 10:59:05,79.1%
2025-04-07 10:59:10,80.1%
2025-04-07 10:59:15,79.6%
2025-04-07 10:59:20,77.1%
2025-04-07 10:59:25,82.4%
2025-04-07 10:59:30,79.2%
2025-04-07 10:59:35,79.7%
2025-04-07 10:59:40,79.4%
2025-04-07 10:59:45,80.4%
2025-04-07 10:59:50,79.3%
2025-04-07 10:59:55,79.1%
2025-04-07 11:00:00,81.4%
2025-04-07 11:00:05,79.2%
2025-04-07 11:00:10,79.7%
2025-04-07 11:00:15,78.8%
2025-04-07 11:00:20,78.6%
2025-04-07 11:00:25,81.5%
2025-04-07 11:00:30,80.5%
2025-04-07 11:00:35,79.9%
2025-04-07 11:00:40,79.9%
2025-04-07 11:00:45,79.7%
2025-04-07 11:00:50,78.8%
2025-04-07 11:00:55,79.9%
2025-04-07 11:01:00,78.9%
2025-04-07 11:01:05,79.0%
2025-04-07 11:01:10,79.7%
2025-04-07 11:01:15,81.9%
2025-04-07 11:01:20,77.0%
2025-04-07 11:01:25,79.4%
2025-04-07 11:01:30,80.5%
2025-04-07 11:01:35,80.4%
2025-04-07 11:01:40,76.5%
2025-04-07 11:01:45,80.9%
2025-04-07 11:01:50,79.6%
2025-04-07 11:01:55,79.2%
2025-04-07 11:02:00,79.3%
2025-04-07 11:02:05,79.7%
