"Time","Postgres"
2025-04-07 10:57:05,2.23%
2025-04-07 10:57:10,2.22%
2025-04-07 10:57:15,1.95%
2025-04-07 10:57:20,1.83%
2025-04-07 10:57:25,1.80%
2025-04-07 10:57:30,1.77%
2025-04-07 10:57:35,1.85%
2025-04-07 10:57:40,1.81%
2025-04-07 10:57:45,1.84%
2025-04-07 10:57:50,1.91%
2025-04-07 10:57:55,1.79%
2025-04-07 10:58:00,1.67%
2025-04-07 10:58:05,1.86%
2025-04-07 10:58:10,1.77%
2025-04-07 10:58:15,1.96%
2025-04-07 10:58:20,1.79%
2025-04-07 10:58:25,1.73%
2025-04-07 10:58:30,1.80%
2025-04-07 10:58:35,1.68%
2025-04-07 10:58:40,1.65%
2025-04-07 10:58:45,1.70%
2025-04-07 10:58:50,1.69%
2025-04-07 10:58:55,1.68%
2025-04-07 10:59:00,1.69%
2025-04-07 10:59:05,1.67%
2025-04-07 10:59:10,1.78%
2025-04-07 10:59:15,1.77%
2025-04-07 10:59:20,1.81%
2025-04-07 10:59:25,1.74%
2025-04-07 10:59:30,1.63%
2025-04-07 10:59:35,1.67%
2025-04-07 10:59:40,1.68%
2025-04-07 10:59:45,1.75%
2025-04-07 10:59:50,1.71%
2025-04-07 10:59:55,1.71%
2025-04-07 11:00:00,1.77%
2025-04-07 11:00:05,1.82%
2025-04-07 11:00:10,1.71%
2025-04-07 11:00:15,1.75%
2025-04-07 11:00:20,1.71%
2025-04-07 11:00:25,1.71%
2025-04-07 11:00:30,1.72%
2025-04-07 11:00:35,1.69%
2025-04-07 11:00:40,1.69%
2025-04-07 11:00:45,1.68%
2025-04-07 11:00:50,1.72%
2025-04-07 11:00:55,1.66%
2025-04-07 11:01:00,1.73%
2025-04-07 11:01:05,1.72%
2025-04-07 11:01:10,1.81%
2025-04-07 11:01:15,1.73%
2025-04-07 11:01:20,1.75%
2025-04-07 11:01:25,1.71%
2025-04-07 11:01:30,1.79%
2025-04-07 11:01:35,1.63%
2025-04-07 11:01:40,1.60%
2025-04-07 11:01:45,1.68%
2025-04-07 11:01:50,1.64%
2025-04-07 11:01:55,1.70%
2025-04-07 11:02:00,1.76%
2025-04-07 11:02:05,2.30%
