"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-07 10:57:05,0.0642%
2025-04-07 10:57:10,0.0706%
2025-04-07 10:57:15,0.0725%
2025-04-07 10:57:20,0.0739%
2025-04-07 10:57:25,0.0700%
2025-04-07 10:57:30,0.0674%
2025-04-07 10:57:35,0.0691%
2025-04-07 10:57:40,0.0715%
2025-04-07 10:57:45,0.0704%
2025-04-07 10:57:50,0.0719%
2025-04-07 10:57:55,0.0747%
2025-04-07 10:58:00,0.0698%
2025-04-07 10:58:05,0.0668%
2025-04-07 10:58:10,0.0659%
2025-04-07 10:58:15,0.0727%
2025-04-07 10:58:20,0.0682%
2025-04-07 10:58:25,0.0656%
2025-04-07 10:58:30,0.0654%
2025-04-07 10:58:35,0.0656%
2025-04-07 10:58:40,0.0677%
2025-04-07 10:58:45,0.0653%
2025-04-07 10:58:50,0.0664%
2025-04-07 10:58:55,0.0647%
2025-04-07 10:59:00,0.0664%
2025-04-07 10:59:05,0.0647%
2025-04-07 10:59:10,0.0660%
2025-04-07 10:59:15,0.0654%
2025-04-07 10:59:20,0.0658%
2025-04-07 10:59:25,0.0668%
2025-04-07 10:59:30,0.0648%
2025-04-07 10:59:35,0.0664%
2025-04-07 10:59:40,0.0668%
2025-04-07 10:59:45,0.0653%
2025-04-07 10:59:50,0.0652%
2025-04-07 10:59:55,0.0661%
2025-04-07 11:00:00,0.0658%
2025-04-07 11:00:05,0.0650%
2025-04-07 11:00:10,0.0655%
2025-04-07 11:00:15,0.0662%
2025-04-07 11:00:20,0.0651%
2025-04-07 11:00:25,0.0660%
2025-04-07 11:00:30,0.0656%
2025-04-07 11:00:35,0.0658%
2025-04-07 11:00:40,0.0668%
2025-04-07 11:00:45,0.0652%
2025-04-07 11:00:50,0.0653%
2025-04-07 11:00:55,0.0654%
2025-04-07 11:01:00,0.0670%
2025-04-07 11:01:05,0.0656%
2025-04-07 11:01:10,0.0666%
2025-04-07 11:01:15,0.0669%
2025-04-07 11:01:20,0.0654%
2025-04-07 11:01:25,0.0669%
2025-04-07 11:01:30,0.0659%
2025-04-07 11:01:35,0.0661%
2025-04-07 11:01:40,0.0657%
2025-04-07 11:01:45,0.0660%
2025-04-07 11:01:50,0.0668%
2025-04-07 11:01:55,0.0644%
2025-04-07 11:02:00,0.0655%
2025-04-07 11:02:05,0.0651%
