"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-07 10:35:15,72.7%
2025-04-07 10:35:20,78.2%
2025-04-07 10:35:25,77.6%
2025-04-07 10:35:30,78.2%
2025-04-07 10:35:35,77.8%
2025-04-07 10:35:40,79.6%
2025-04-07 10:35:45,78.2%
2025-04-07 10:35:50,78.8%
2025-04-07 10:35:55,76.9%
2025-04-07 10:36:00,77.4%
2025-04-07 10:36:05,77.7%
2025-04-07 10:36:10,77.3%
2025-04-07 10:36:15,79.7%
2025-04-07 10:36:20,74.9%
2025-04-07 10:36:25,78.3%
2025-04-07 10:36:30,77.7%
2025-04-07 10:36:35,80.5%
2025-04-07 10:36:40,76.1%
2025-04-07 10:36:45,77.7%
2025-04-07 10:36:50,77.8%
2025-04-07 10:36:55,79.7%
2025-04-07 10:37:00,76.6%
2025-04-07 10:37:05,77.5%
2025-04-07 10:37:10,77.5%
2025-04-07 10:37:15,77.6%
2025-04-07 10:37:20,80.0%
2025-04-07 10:37:25,76.5%
2025-04-07 10:37:30,78.1%
2025-04-07 10:37:35,77.4%
2025-04-07 10:37:40,77.4%
2025-04-07 10:37:45,77.9%
2025-04-07 10:37:50,77.2%
2025-04-07 10:37:55,77.1%
2025-04-07 10:38:00,78.1%
2025-04-07 10:38:05,76.7%
2025-04-07 10:38:10,79.6%
2025-04-07 10:38:15,77.5%
2025-04-07 10:38:20,77.0%
2025-04-07 10:38:25,75.1%
2025-04-07 10:38:30,78.5%
2025-04-07 10:38:35,76.4%
2025-04-07 10:38:40,78.2%
2025-04-07 10:38:45,78.6%
2025-04-07 10:38:50,79.1%
2025-04-07 10:38:55,76.9%
2025-04-07 10:39:00,78.1%
2025-04-07 10:39:05,76.8%
2025-04-07 10:39:10,78.0%
2025-04-07 10:39:15,79.3%
2025-04-07 10:39:20,77.9%
2025-04-07 10:39:25,78.2%
2025-04-07 10:39:30,76.2%
2025-04-07 10:39:35,77.6%
2025-04-07 10:39:40,78.1%
2025-04-07 10:39:45,78.5%
2025-04-07 10:39:50,80.0%
2025-04-07 10:39:55,76.7%
2025-04-07 10:40:00,78.4%
2025-04-07 10:40:05,76.8%
2025-04-07 10:40:10,67.0%
2025-04-07 10:40:15,71.7%
