"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-07 11:35:20,75.0%
2025-04-07 11:35:25,75.2%
2025-04-07 11:35:30,81.6%
2025-04-07 11:35:35,76.4%
2025-04-07 11:35:40,73.9%
2025-04-07 11:35:45,76.5%
2025-04-07 11:35:50,75.2%
2025-04-07 11:35:55,74.1%
2025-04-07 11:36:00,76.0%
2025-04-07 11:36:05,74.2%
2025-04-07 11:36:10,76.5%
2025-04-07 11:36:15,76.7%
2025-04-07 11:36:20,76.9%
2025-04-07 11:36:25,76.9%
2025-04-07 11:36:30,77.1%
2025-04-07 11:36:35,76.1%
2025-04-07 11:36:40,80.5%
2025-04-07 11:36:45,75.9%
2025-04-07 11:36:50,75.4%
2025-04-07 11:36:55,76.4%
2025-04-07 11:37:00,71.8%
2025-04-07 11:37:05,81.3%
2025-04-07 11:37:10,74.3%
2025-04-07 11:37:15,76.6%
2025-04-07 11:37:20,81.3%
2025-04-07 11:37:25,77.3%
2025-04-07 11:37:30,75.7%
2025-04-07 11:37:35,75.7%
2025-04-07 11:37:40,74.0%
2025-04-07 11:37:45,75.3%
2025-04-07 11:37:50,81.7%
2025-04-07 11:37:55,75.8%
2025-04-07 11:38:00,77.6%
2025-04-07 11:38:05,69.7%
2025-04-07 11:38:10,79.1%
2025-04-07 11:38:15,75.8%
2025-04-07 11:38:20,74.9%
2025-04-07 11:38:25,76.3%
2025-04-07 11:38:30,78.0%
2025-04-07 11:38:35,73.5%
2025-04-07 11:38:40,76.3%
2025-04-07 11:38:45,81.4%
2025-04-07 11:38:50,76.0%
2025-04-07 11:38:55,76.2%
2025-04-07 11:39:00,77.4%
2025-04-07 11:39:05,72.1%
2025-04-07 11:39:10,76.9%
2025-04-07 11:39:15,72.3%
2025-04-07 11:39:20,78.0%
2025-04-07 11:39:25,74.2%
2025-04-07 11:39:30,82.2%
2025-04-07 11:39:35,73.4%
2025-04-07 11:39:40,77.9%
2025-04-07 11:39:45,73.9%
2025-04-07 11:39:50,75.6%
2025-04-07 11:39:55,77.8%
2025-04-07 11:40:00,75.5%
2025-04-07 11:40:05,80.8%
2025-04-07 11:40:10,75.9%
2025-04-07 11:40:15,78.0%
2025-04-07 11:40:20,75.7%
