"Time","Postgres"
2025-04-07 11:47:10,2.56%
2025-04-07 11:47:15,1.73%
2025-04-07 11:47:20,1.86%
2025-04-07 11:47:25,1.58%
2025-04-07 11:47:30,1.60%
2025-04-07 11:47:35,1.59%
2025-04-07 11:47:40,1.65%
2025-04-07 11:47:45,1.65%
2025-04-07 11:47:50,1.68%
2025-04-07 11:47:55,1.65%
2025-04-07 11:48:00,1.61%
2025-04-07 11:48:05,1.69%
2025-04-07 11:48:10,1.64%
2025-04-07 11:48:15,1.82%
2025-04-07 11:48:20,1.63%
2025-04-07 11:48:25,1.59%
2025-04-07 11:48:30,1.68%
2025-04-07 11:48:35,1.54%
2025-04-07 11:48:40,1.58%
2025-04-07 11:48:45,1.57%
2025-04-07 11:48:50,1.63%
2025-04-07 11:48:55,1.61%
2025-04-07 11:49:00,1.83%
2025-04-07 11:49:05,1.48%
2025-04-07 11:49:10,1.58%
2025-04-07 11:49:15,1.52%
2025-04-07 11:49:20,1.67%
2025-04-07 11:49:25,1.77%
2025-04-07 11:49:30,1.55%
2025-04-07 11:49:35,1.76%
2025-04-07 11:49:40,1.58%
2025-04-07 11:49:45,1.82%
2025-04-07 11:49:50,1.59%
2025-04-07 11:49:55,1.53%
2025-04-07 11:50:00,1.54%
2025-04-07 11:50:05,1.71%
2025-04-07 11:50:10,1.73%
2025-04-07 11:50:15,1.50%
2025-04-07 11:50:20,1.56%
2025-04-07 11:50:25,1.52%
2025-04-07 11:50:30,1.62%
2025-04-07 11:50:35,1.70%
2025-04-07 11:50:40,1.58%
2025-04-07 11:50:45,1.66%
2025-04-07 11:50:50,1.54%
2025-04-07 11:50:55,1.60%
2025-04-07 11:51:00,1.68%
2025-04-07 11:51:05,1.75%
2025-04-07 11:51:10,1.52%
2025-04-07 11:51:15,1.59%
2025-04-07 11:51:20,1.52%
2025-04-07 11:51:25,1.76%
2025-04-07 11:51:30,1.60%
2025-04-07 11:51:35,1.74%
2025-04-07 11:51:40,1.52%
2025-04-07 11:51:45,1.54%
2025-04-07 11:51:50,1.57%
2025-04-07 11:51:55,1.68%
2025-04-07 11:52:00,1.66%
2025-04-07 11:52:05,1.52%
2025-04-07 11:52:10,2.51%
