"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-07 11:53:20,1.55%
2025-04-07 11:53:25,1.70%
2025-04-07 11:53:30,1.68%
2025-04-07 11:53:35,1.73%
2025-04-07 11:53:40,1.57%
2025-04-07 11:53:45,1.60%
2025-04-07 11:53:50,1.74%
2025-04-07 11:53:55,1.69%
2025-04-07 11:54:00,1.51%
2025-04-07 11:54:05,1.66%
2025-04-07 11:54:10,1.70%
2025-04-07 11:54:15,1.69%
2025-04-07 11:54:20,1.66%
2025-04-07 11:54:25,1.68%
2025-04-07 11:54:30,1.68%
2025-04-07 11:54:35,1.70%
2025-04-07 11:54:40,1.66%
2025-04-07 11:54:45,1.56%
2025-04-07 11:54:50,1.67%
2025-04-07 11:54:55,1.66%
2025-04-07 11:55:00,1.69%
2025-04-07 11:55:05,1.64%
2025-04-07 11:55:10,1.59%
2025-04-07 11:55:15,1.63%
2025-04-07 11:55:20,1.64%
2025-04-07 11:55:25,1.71%
2025-04-07 11:55:30,1.72%
2025-04-07 11:55:35,1.61%
2025-04-07 11:55:40,1.62%
2025-04-07 11:55:45,1.58%
2025-04-07 11:55:50,1.71%
2025-04-07 11:55:55,1.64%
2025-04-07 11:56:00,1.60%
2025-04-07 11:56:05,1.60%
2025-04-07 11:56:10,1.68%
2025-04-07 11:56:15,1.64%
2025-04-07 11:56:20,1.68%
2025-04-07 11:56:25,1.58%
2025-04-07 11:56:30,1.63%
2025-04-07 11:56:35,1.57%
2025-04-07 11:56:40,1.72%
2025-04-07 11:56:45,1.62%
2025-04-07 11:56:50,1.60%
2025-04-07 11:56:55,1.62%
2025-04-07 11:57:00,1.62%
2025-04-07 11:57:05,1.69%
2025-04-07 11:57:10,2.76%
2025-04-07 11:57:15,1.73%
2025-04-07 11:57:20,1.54%
2025-04-07 11:57:25,1.58%
2025-04-07 11:57:30,1.59%
2025-04-07 11:57:35,1.64%
2025-04-07 11:57:40,1.71%
2025-04-07 11:57:45,1.49%
2025-04-07 11:57:50,1.58%
2025-04-07 11:57:55,1.67%
2025-04-07 11:58:00,1.62%
2025-04-07 11:58:05,1.67%
2025-04-07 11:58:10,1.63%
2025-04-07 11:58:15,1.63%
2025-04-07 11:58:20,1.68%
