"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-07 11:35:23,8.13 W
2025-04-07 11:35:28,8.08 W
2025-04-07 11:35:33,8.05 W
2025-04-07 11:35:38,8.19 W
2025-04-07 11:35:43,7.98 W
2025-04-07 11:35:48,8.00 W
2025-04-07 11:35:53,8.00 W
2025-04-07 11:35:58,8.16 W
2025-04-07 11:36:03,8.07 W
2025-04-07 11:36:08,7.95 W
2025-04-07 11:36:13,8.22 W
2025-04-07 11:36:18,8.30 W
2025-04-07 11:36:23,7.71 W
2025-04-07 11:36:28,7.87 W
2025-04-07 11:36:33,7.94 W
2025-04-07 11:36:38,7.92 W
2025-04-07 11:36:43,7.85 W
2025-04-07 11:36:48,7.63 W
2025-04-07 11:36:53,8.14 W
2025-04-07 11:36:58,7.83 W
2025-04-07 11:37:03,7.99 W
2025-04-07 11:37:08,7.88 W
2025-04-07 11:37:13,8.02 W
2025-04-07 11:37:18,7.92 W
2025-04-07 11:37:23,7.72 W
2025-04-07 11:37:28,7.99 W
2025-04-07 11:37:33,7.92 W
2025-04-07 11:37:38,7.95 W
2025-04-07 11:37:43,7.95 W
2025-04-07 11:37:48,7.84 W
2025-04-07 11:37:53,7.79 W
2025-04-07 11:37:58,7.90 W
2025-04-07 11:38:03,7.86 W
2025-04-07 11:38:08,7.89 W
2025-04-07 11:38:13,7.73 W
2025-04-07 11:38:18,7.99 W
2025-04-07 11:38:23,7.77 W
2025-04-07 11:38:28,7.95 W
2025-04-07 11:38:33,8.17 W
2025-04-07 11:38:38,7.92 W
2025-04-07 11:38:43,8.00 W
2025-04-07 11:38:48,7.80 W
2025-04-07 11:38:53,8.25 W
2025-04-07 11:38:58,7.98 W
2025-04-07 11:39:03,7.74 W
2025-04-07 11:39:08,8.14 W
2025-04-07 11:39:13,8.01 W
2025-04-07 11:39:18,7.93 W
2025-04-07 11:39:23,7.83 W
2025-04-07 11:39:28,7.84 W
2025-04-07 11:39:33,7.89 W
2025-04-07 11:39:38,8.21 W
2025-04-07 11:39:43,7.98 W
2025-04-07 11:39:48,8.08 W
2025-04-07 11:39:53,8.20 W
