"Time","Redis"
2025-04-07 11:29:10,0.0645%
2025-04-07 11:29:15,0.0652%
2025-04-07 11:29:20,0.0632%
2025-04-07 11:29:25,0.0644%
2025-04-07 11:29:30,0.0657%
2025-04-07 11:29:35,0.0649%
2025-04-07 11:29:40,0.0649%
2025-04-07 11:29:45,0.0657%
2025-04-07 11:29:50,0.0674%
2025-04-07 11:29:55,0.0648%
2025-04-07 11:30:00,0.0639%
2025-04-07 11:30:05,0.0673%
2025-04-07 11:30:10,0.0652%
2025-04-07 11:30:15,0.0672%
2025-04-07 11:30:20,0.0661%
2025-04-07 11:30:25,0.0667%
2025-04-07 11:30:30,0.0654%
2025-04-07 11:30:35,0.0661%
2025-04-07 11:30:40,0.0645%
2025-04-07 11:30:45,0.0652%
2025-04-07 11:30:50,0.0661%
2025-04-07 11:30:55,0.0654%
2025-04-07 11:31:00,0.0645%
2025-04-07 11:31:05,0.0664%
2025-04-07 11:31:10,0.0657%
2025-04-07 11:31:15,0.0641%
2025-04-07 11:31:20,0.0636%
2025-04-07 11:31:25,0.0651%
2025-04-07 11:31:30,0.0652%
2025-04-07 11:31:35,0.0661%
2025-04-07 11:31:40,0.0644%
2025-04-07 11:31:45,0.0640%
2025-04-07 11:31:50,0.0648%
2025-04-07 11:31:55,0.0632%
2025-04-07 11:32:00,0.0653%
2025-04-07 11:32:05,0.0649%
2025-04-07 11:32:10,0.0650%
2025-04-07 11:32:15,0.0645%
2025-04-07 11:32:20,0.0646%
2025-04-07 11:32:25,0.0649%
2025-04-07 11:32:30,0.0651%
2025-04-07 11:32:35,0.0666%
2025-04-07 11:32:40,0.0652%
2025-04-07 11:32:45,0.0652%
2025-04-07 11:32:50,0.0632%
2025-04-07 11:32:55,0.0651%
2025-04-07 11:33:00,0.0649%
2025-04-07 11:33:05,0.0645%
2025-04-07 11:33:10,0.0671%
2025-04-07 11:33:15,0.0655%
2025-04-07 11:33:20,0.0644%
2025-04-07 11:33:25,0.0656%
2025-04-07 11:33:30,0.0648%
2025-04-07 11:33:35,0.0656%
2025-04-07 11:33:40,0.0638%
2025-04-07 11:33:45,0.0652%
2025-04-07 11:33:50,0.0645%
2025-04-07 11:33:55,0.0649%
2025-04-07 11:34:00,0.0660%
2025-04-07 11:34:05,0.0630%
2025-04-07 11:34:10,0.0678%
