"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-07 11:35:20,0.0646%
2025-04-07 11:35:25,0.0650%
2025-04-07 11:35:30,0.0638%
2025-04-07 11:35:35,0.0657%
2025-04-07 11:35:40,0.0645%
2025-04-07 11:35:45,0.0660%
2025-04-07 11:35:50,0.0652%
2025-04-07 11:35:55,0.0636%
2025-04-07 11:36:00,0.0649%
2025-04-07 11:36:05,0.0669%
2025-04-07 11:36:10,0.0643%
2025-04-07 11:36:15,0.0642%
2025-04-07 11:36:20,0.0661%
2025-04-07 11:36:25,0.0634%
2025-04-07 11:36:30,0.0651%
2025-04-07 11:36:35,0.0653%
2025-04-07 11:36:40,0.0655%
2025-04-07 11:36:45,0.0655%
2025-04-07 11:36:50,0.0657%
2025-04-07 11:36:55,0.0652%
2025-04-07 11:37:00,0.0654%
2025-04-07 11:37:05,0.0655%
2025-04-07 11:37:10,0.0661%
2025-04-07 11:37:15,0.0644%
2025-04-07 11:37:20,0.0663%
2025-04-07 11:37:25,0.0640%
2025-04-07 11:37:30,0.0640%
2025-04-07 11:37:35,0.0650%
2025-04-07 11:37:40,0.0667%
2025-04-07 11:37:45,0.0644%
2025-04-07 11:37:50,0.0672%
2025-04-07 11:37:55,0.0642%
2025-04-07 11:38:00,0.0632%
2025-04-07 11:38:05,0.0654%
2025-04-07 11:38:10,0.0657%
2025-04-07 11:38:15,0.0649%
2025-04-07 11:38:20,0.0637%
2025-04-07 11:38:25,0.0648%
2025-04-07 11:38:30,0.0648%
2025-04-07 11:38:35,0.0659%
2025-04-07 11:38:40,0.0646%
2025-04-07 11:38:45,0.0659%
2025-04-07 11:38:50,0.0638%
2025-04-07 11:38:55,0.0655%
2025-04-07 11:39:00,0.0649%
2025-04-07 11:39:05,0.0644%
2025-04-07 11:39:10,0.0665%
2025-04-07 11:39:15,0.0655%
2025-04-07 11:39:20,0.0655%
2025-04-07 11:39:25,0.0648%
2025-04-07 11:39:30,0.0660%
2025-04-07 11:39:35,0.0653%
2025-04-07 11:39:40,0.0651%
2025-04-07 11:39:45,0.0648%
2025-04-07 11:39:50,0.0655%
2025-04-07 11:39:55,0.0637%
2025-04-07 11:40:00,0.0666%
2025-04-07 11:40:05,0.0678%
2025-04-07 11:40:10,0.0653%
2025-04-07 11:40:15,0.0667%
2025-04-07 11:40:20,0.0667%
