"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-07 11:41:15,75.2%
2025-04-07 11:41:20,73.1%
2025-04-07 11:41:25,80.3%
2025-04-07 11:41:30,75.4%
2025-04-07 11:41:35,74.1%
2025-04-07 11:41:40,75.3%
2025-04-07 11:41:45,73.2%
2025-04-07 11:41:50,72.8%
2025-04-07 11:41:55,75.3%
2025-04-07 11:42:00,73.4%
2025-04-07 11:42:05,79.5%
2025-04-07 11:42:10,74.7%
2025-04-07 11:42:15,68.3%
2025-04-07 11:42:20,75.8%
2025-04-07 11:42:25,74.5%
2025-04-07 11:42:30,75.2%
2025-04-07 11:42:35,79.9%
2025-04-07 11:42:40,72.7%
2025-04-07 11:42:45,75.3%
2025-04-07 11:42:50,74.1%
2025-04-07 11:42:55,73.1%
2025-04-07 11:43:00,73.7%
2025-04-07 11:43:05,75.2%
2025-04-07 11:43:10,79.8%
2025-04-07 11:43:15,75.1%
2025-04-07 11:43:20,74.5%
2025-04-07 11:43:25,72.0%
2025-04-07 11:43:30,75.7%
2025-04-07 11:43:35,73.0%
2025-04-07 11:43:40,73.8%
2025-04-07 11:43:45,72.8%
2025-04-07 11:43:50,74.9%
2025-04-07 11:43:55,75.9%
2025-04-07 11:44:00,73.3%
2025-04-07 11:44:05,78.8%
2025-04-07 11:44:10,74.7%
2025-04-07 11:44:15,72.5%
2025-04-07 11:44:20,75.1%
2025-04-07 11:44:25,75.1%
2025-04-07 11:44:30,73.7%
2025-04-07 11:44:35,73.5%
2025-04-07 11:44:40,74.4%
2025-04-07 11:44:45,72.3%
2025-04-07 11:44:50,78.9%
2025-04-07 11:44:55,73.0%
2025-04-07 11:45:00,74.1%
2025-04-07 11:45:05,74.3%
2025-04-07 11:45:10,74.2%
2025-04-07 11:45:15,79.5%
2025-04-07 11:45:20,71.9%
2025-04-07 11:45:25,72.7%
2025-04-07 11:45:30,73.8%
2025-04-07 11:45:35,76.1%
2025-04-07 11:45:40,74.7%
2025-04-07 11:45:45,70.6%
2025-04-07 11:45:50,74.1%
2025-04-07 11:45:55,75.1%
2025-04-07 11:46:00,72.9%
2025-04-07 11:46:05,69.4%
2025-04-07 11:46:10,79.4%
2025-04-07 11:46:15,74.8%
