"Time","GraphQL server"
2025-04-07 11:47:10,66.2%
2025-04-07 11:47:15,71.6%
2025-04-07 11:47:20,79.6%
2025-04-07 11:47:25,74.7%
2025-04-07 11:47:30,70.5%
2025-04-07 11:47:35,74.3%
2025-04-07 11:47:40,74.5%
2025-04-07 11:47:45,73.1%
2025-04-07 11:47:50,75.5%
2025-04-07 11:47:55,73.2%
2025-04-07 11:48:00,72.8%
2025-04-07 11:48:05,73.4%
2025-04-07 11:48:10,74.2%
2025-04-07 11:48:15,76.7%
2025-04-07 11:48:20,77.3%
2025-04-07 11:48:25,75.4%
2025-04-07 11:48:30,71.3%
2025-04-07 11:48:35,77.0%
2025-04-07 11:48:40,73.8%
2025-04-07 11:48:45,71.2%
2025-04-07 11:48:50,72.3%
2025-04-07 11:48:55,73.2%
2025-04-07 11:49:00,80.5%
2025-04-07 11:49:05,73.9%
2025-04-07 11:49:10,71.4%
2025-04-07 11:49:15,71.8%
2025-04-07 11:49:20,72.2%
2025-04-07 11:49:25,75.6%
2025-04-07 11:49:30,73.5%
2025-04-07 11:49:35,73.9%
2025-04-07 11:49:40,74.0%
2025-04-07 11:49:45,73.3%
2025-04-07 11:49:50,71.1%
2025-04-07 11:49:55,73.1%
2025-04-07 11:50:00,70.7%
2025-04-07 11:50:05,73.8%
2025-04-07 11:50:10,79.6%
2025-04-07 11:50:15,74.9%
2025-04-07 11:50:20,74.6%
2025-04-07 11:50:25,73.3%
2025-04-07 11:50:30,73.6%
2025-04-07 11:50:35,80.0%
2025-04-07 11:50:40,72.0%
2025-04-07 11:50:45,72.0%
2025-04-07 11:50:50,73.2%
2025-04-07 11:50:55,74.0%
2025-04-07 11:51:00,75.2%
2025-04-07 11:51:05,79.2%
2025-04-07 11:51:10,75.7%
2025-04-07 11:51:15,73.1%
2025-04-07 11:51:20,74.3%
2025-04-07 11:51:25,72.8%
2025-04-07 11:51:30,75.2%
2025-04-07 11:51:35,79.8%
2025-04-07 11:51:40,67.6%
2025-04-07 11:51:45,76.2%
2025-04-07 11:51:50,72.8%
2025-04-07 11:51:55,79.5%
2025-04-07 11:52:00,75.3%
2025-04-07 11:52:05,74.8%
2025-04-07 11:52:10,70.3%
