"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-(server_app-1|redis-1|postgres_db-1)""}[5m])) / 12
"
2025-04-22 09:32:35,0.0626%
2025-04-22 09:32:40,0.0635%
2025-04-22 09:32:45,0.0628%
2025-04-22 09:32:50,0.0640%
2025-04-22 09:32:55,0.0631%
2025-04-22 09:33:00,0.0634%
2025-04-22 09:33:05,0.0818%
2025-04-22 09:33:10,0.0651%
2025-04-22 09:33:15,0.0643%
2025-04-22 09:33:20,0.0635%
2025-04-22 09:33:25,0.0633%
2025-04-22 09:33:30,0.0625%
2025-04-22 09:33:35,0.0632%
2025-04-22 09:33:40,0.0634%
2025-04-22 09:33:45,0.0643%
2025-04-22 09:33:50,0.0645%
2025-04-22 09:33:55,0.0637%
2025-04-22 09:34:00,0.0595%
2025-04-22 09:34:05,0.0748%
2025-04-22 09:34:10,0.0627%
2025-04-22 09:34:15,0.0655%
2025-04-22 09:34:20,0.0653%
2025-04-22 09:34:25,0.0616%
2025-04-22 09:34:30,0.0617%
2025-04-22 09:34:35,0.0641%
2025-04-22 09:34:40,0.0645%
2025-04-22 09:34:45,0.0635%
2025-04-22 09:34:50,0.0637%
2025-04-22 09:34:55,0.0646%
2025-04-22 09:35:00,0.0649%
2025-04-22 09:35:05,0.0826%
2025-04-22 09:35:10,0.0660%
2025-04-22 09:35:15,0.0662%
2025-04-22 09:35:20,0.0624%
2025-04-22 09:35:25,0.0628%
2025-04-22 09:35:30,0.0628%
2025-04-22 09:35:35,0.0629%
2025-04-22 09:35:40,0.0654%
2025-04-22 09:35:45,0.0638%
2025-04-22 09:35:50,0.0666%
2025-04-22 09:35:55,0.0666%
2025-04-22 09:36:00,0.0630%
2025-04-22 09:36:05,0.0771%
2025-04-22 09:36:10,0.0641%
2025-04-22 09:36:15,0.0641%
2025-04-22 09:36:20,0.0643%
2025-04-22 09:36:25,0.0642%
2025-04-22 09:36:30,0.0678%
2025-04-22 09:36:35,0.0634%
2025-04-22 09:36:40,0.0645%
2025-04-22 09:36:45,0.0656%
2025-04-22 09:36:50,0.0651%
2025-04-22 09:36:55,0.0650%
2025-04-22 09:37:00,0.0657%
2025-04-22 09:37:05,0.0627%
2025-04-22 09:37:10,0.0841%
2025-04-22 09:37:15,0.0648%
2025-04-22 09:37:20,0.0625%
2025-04-22 09:37:25,0.0647%
2025-04-22 09:37:30,0.0621%
2025-04-22 09:37:35,0.0637%
