"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-postgres_db-1""}[5m])) / 12
"
2025-04-22 10:48:15,0.000154%
2025-04-22 10:48:20,0.000154%
2025-04-22 10:48:25,0.000225%
2025-04-22 10:48:30,0.000117%
2025-04-22 10:48:35,0.000227%
2025-04-22 10:48:40,0.000227%
2025-04-22 10:48:45,0.000317%
2025-04-22 10:48:50,0.000171%
2025-04-22 10:48:55,0.000220%
2025-04-22 10:49:00,0.000165%
2025-04-22 10:49:05,0.000323%
2025-04-22 10:49:10,0.0179%
2025-04-22 10:49:15,0.000295%
2025-04-22 10:49:20,0.000160%
2025-04-22 10:49:25,0.000342%
2025-04-22 10:49:30,0.000342%
2025-04-22 10:49:35,0.000637%
2025-04-22 10:49:40,0.000113%
2025-04-22 10:49:45,0.000292%
2025-04-22 10:49:50,0.000163%
2025-04-22 10:49:55,0.000163%
2025-04-22 10:50:00,0.000133%
2025-04-22 10:50:05,0.000561%
2025-04-22 10:50:10,0.0186%
2025-04-22 10:50:15,0.000330%
2025-04-22 10:50:20,0.000122%
2025-04-22 10:50:25,0%
2025-04-22 10:50:30,0.000206%
2025-04-22 10:50:35,0.000206%
2025-04-22 10:50:40,0.000289%
2025-04-22 10:50:45,0.000354%
2025-04-22 10:50:50,0.000153%
2025-04-22 10:50:55,0.000163%
2025-04-22 10:51:00,0.000258%
2025-04-22 10:51:05,0.0000903%
2025-04-22 10:51:10,0.0169%
2025-04-22 10:51:15,0.0000936%
2025-04-22 10:51:20,0.000351%
2025-04-22 10:51:25,0.000108%
2025-04-22 10:51:30,0.000278%
2025-04-22 10:51:35,0.000127%
2025-04-22 10:51:40,0.000323%
2025-04-22 10:51:45,0.0000995%
2025-04-22 10:51:50,0.0000995%
2025-04-22 10:51:55,0.000171%
2025-04-22 10:52:00,0.000277%
2025-04-22 10:52:05,0.0000944%
2025-04-22 10:52:10,0.0233%
2025-04-22 10:52:15,0%
2025-04-22 10:52:20,0%
2025-04-22 10:52:25,0.000131%
2025-04-22 10:52:30,0.000263%
2025-04-22 10:52:35,0.000263%
2025-04-22 10:52:40,0.000207%
2025-04-22 10:52:45,0.000162%
2025-04-22 10:52:50,0.000220%
2025-04-22 10:52:55,0.000126%
2025-04-22 10:53:00,0.000326%
2025-04-22 10:53:05,0.000295%
2025-04-22 10:53:10,0.0241%
2025-04-22 10:53:15,0.000157%
