Time,"power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-22 09:32:40,3.43 W
2025-04-22 09:32:45,3.48 W
2025-04-22 09:32:50,3.38 W
2025-04-22 09:32:55,3.47 W
2025-04-22 09:33:00,3.38 W
2025-04-22 09:33:05,3.37 W
2025-04-22 09:33:10,3.59 W
2025-04-22 09:33:15,3.59 W
2025-04-22 09:33:20,3.30 W
2025-04-22 09:33:25,3.48 W
2025-04-22 09:33:30,3.33 W
2025-04-22 09:33:35,3.55 W
2025-04-22 09:33:40,3.36 W
2025-04-22 09:33:45,3.30 W
2025-04-22 09:33:50,3.31 W
2025-04-22 09:33:55,3.32 W
2025-04-22 09:34:00,3.43 W
2025-04-22 09:34:05,3.38 W
2025-04-22 09:34:10,3.32 W
2025-04-22 09:34:15,4.02 W
2025-04-22 09:34:20,3.68 W
2025-04-22 09:34:25,3.40 W
2025-04-22 09:34:30,3.63 W
2025-04-22 09:34:35,3.55 W
2025-04-22 09:34:40,3.49 W
2025-04-22 09:34:45,3.37 W
2025-04-22 09:34:50,3.36 W
2025-04-22 09:34:55,3.25 W
2025-04-22 09:35:00,3.47 W
2025-04-22 09:35:05,3.92 W
2025-04-22 09:35:10,3.6 W
2025-04-22 09:35:15,3.77 W
2025-04-22 09:35:20,3.70 W
2025-04-22 09:35:25,3.61 W
2025-04-22 09:35:30,3.63 W
2025-04-22 09:35:35,3.55 W
2025-04-22 09:35:40,3.67 W
2025-04-22 09:35:45,3.65 W
2025-04-22 09:35:50,3.47 W
2025-04-22 09:35:55,3.33 W
2025-04-22 09:36:00,3.50 W
2025-04-22 09:36:05,3.37 W
2025-04-22 09:36:10,3.41 W
2025-04-22 09:36:15,3.41 W
2025-04-22 09:36:20,3.96 W
2025-04-22 09:36:25,3.77 W
2025-04-22 09:36:30,3.37 W
2025-04-22 09:36:35,3.47 W
2025-04-22 09:36:40,3.27 W
2025-04-22 09:36:45,3.33 W
2025-04-22 09:36:50,3.31 W
2025-04-22 09:36:55,3.30 W
2025-04-22 09:37:00,3.38 W
2025-04-22 09:37:05,3.38 W
2025-04-22 09:37:10,3.67 W
