"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-22 10:48:15,0.0629%
2025-04-22 10:48:20,0.0633%
2025-04-22 10:48:25,0.0633%
2025-04-22 10:48:30,0.0608%
2025-04-22 10:48:35,0.0631%
2025-04-22 10:48:40,0.0623%
2025-04-22 10:48:45,0.0623%
2025-04-22 10:48:50,0.0621%
2025-04-22 10:48:55,0.0634%
2025-04-22 10:49:00,0.0646%
2025-04-22 10:49:05,0.0638%
2025-04-22 10:49:10,0.0638%
2025-04-22 10:49:15,0.0627%
2025-04-22 10:49:20,0.0632%
2025-04-22 10:49:25,0.0613%
2025-04-22 10:49:30,0.0623%
2025-04-22 10:49:35,0.0632%
2025-04-22 10:49:40,0.0632%
2025-04-22 10:49:45,0.0617%
2025-04-22 10:49:50,0.0626%
2025-04-22 10:49:55,0.0626%
2025-04-22 10:50:00,0.0644%
2025-04-22 10:50:05,0.0657%
2025-04-22 10:50:10,0.0618%
2025-04-22 10:50:15,0.0618%
2025-04-22 10:50:20,0.0643%
2025-04-22 10:50:25,0.0609%
2025-04-22 10:50:30,0.0600%
2025-04-22 10:50:35,0.0614%
2025-04-22 10:50:40,0.0631%
2025-04-22 10:50:45,0.0631%
2025-04-22 10:50:50,0.0599%
2025-04-22 10:50:55,0.0623%
2025-04-22 10:51:00,0.0626%
2025-04-22 10:51:05,0.0610%
2025-04-22 10:51:10,0.0643%
2025-04-22 10:51:15,0.0643%
2025-04-22 10:51:20,0.0595%
2025-04-22 10:51:25,0.0620%
2025-04-22 10:51:30,0.0589%
2025-04-22 10:51:35,0.0589%
2025-04-22 10:51:40,0.0633%
2025-04-22 10:51:45,0.0630%
2025-04-22 10:51:50,0.0645%
2025-04-22 10:51:55,0.0625%
2025-04-22 10:52:00,0.0627%
2025-04-22 10:52:05,0.0639%
2025-04-22 10:52:10,0.0628%
2025-04-22 10:52:15,0.0635%
2025-04-22 10:52:20,0.0637%
2025-04-22 10:52:25,0.0607%
2025-04-22 10:52:30,0.0607%
2025-04-22 10:52:35,0.0612%
2025-04-22 10:52:40,0.0661%
2025-04-22 10:52:45,0.0706%
2025-04-22 10:52:50,0.0706%
2025-04-22 10:52:55,0.0638%
2025-04-22 10:53:00,0.0717%
2025-04-22 10:53:05,0.0672%
2025-04-22 10:53:10,0.0642%
2025-04-22 10:53:15,0.0751%
