"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-server_app-1""}[5m])) / 12
"
2025-04-22 09:32:35,0%
2025-04-22 09:32:40,0%
2025-04-22 09:32:45,0%
2025-04-22 09:32:50,0.000237%
2025-04-22 09:32:55,0%
2025-04-22 09:33:00,0%
2025-04-22 09:33:05,0%
2025-04-22 09:33:10,0%
2025-04-22 09:33:15,0%
2025-04-22 09:33:20,0%
2025-04-22 09:33:25,0%
2025-04-22 09:33:30,0%
2025-04-22 09:33:35,0%
2025-04-22 09:33:40,0%
2025-04-22 09:33:45,0.0000515%
2025-04-22 09:33:50,0.0000515%
2025-04-22 09:33:55,0%
2025-04-22 09:34:00,0%
2025-04-22 09:34:05,0%
2025-04-22 09:34:10,0%
2025-04-22 09:34:15,0%
2025-04-22 09:34:20,0%
2025-04-22 09:34:25,0%
2025-04-22 09:34:30,0%
2025-04-22 09:34:35,0.0000514%
2025-04-22 09:34:40,0%
2025-04-22 09:34:45,0%
2025-04-22 09:34:50,0%
2025-04-22 09:34:55,0.000151%
2025-04-22 09:35:00,0%
2025-04-22 09:35:05,0%
2025-04-22 09:35:10,0%
2025-04-22 09:35:15,0%
2025-04-22 09:35:20,0%
2025-04-22 09:35:25,0%
2025-04-22 09:35:30,0.0000846%
2025-04-22 09:35:35,0%
2025-04-22 09:35:40,0%
2025-04-22 09:35:45,0%
2025-04-22 09:35:50,0%
2025-04-22 09:35:55,0.000112%
2025-04-22 09:36:00,0%
2025-04-22 09:36:05,0%
2025-04-22 09:36:10,0%
2025-04-22 09:36:15,0%
2025-04-22 09:36:20,0.000145%
2025-04-22 09:36:25,0%
2025-04-22 09:36:30,0%
2025-04-22 09:36:35,0%
2025-04-22 09:36:40,0%
2025-04-22 09:36:45,0%
2025-04-22 09:36:50,0%
2025-04-22 09:36:55,0%
2025-04-22 09:37:00,0%
2025-04-22 09:37:05,0.0000608%
2025-04-22 09:37:10,0%
2025-04-22 09:37:15,0%
2025-04-22 09:37:20,0%
2025-04-22 09:37:25,0.000197%
2025-04-22 09:37:30,0%
2025-04-22 09:37:35,0%
