"Time","GraphQL server"
2025-04-02 09:04:50,41.3%
2025-04-02 09:05:00,57.5%
2025-04-02 09:05:10,57.0%
2025-04-02 09:05:20,57.3%
2025-04-02 09:05:30,57.3%
2025-04-02 09:05:40,57.1%
2025-04-02 09:05:50,53.9%
2025-04-02 09:06:00,53.9%
2025-04-02 09:06:10,57.0%
2025-04-02 09:06:20,57.3%
2025-04-02 09:06:30,57.4%
2025-04-02 09:06:40,57.2%
2025-04-02 09:06:50,55.8%
2025-04-02 09:07:00,56.6%
2025-04-02 09:07:10,56.7%
2025-04-02 09:07:20,56.3%
2025-04-02 09:07:30,56.6%
2025-04-02 09:07:40,56.2%
2025-04-02 09:07:50,56.3%
2025-04-02 09:08:00,57.6%
2025-04-02 09:08:10,55.8%
2025-04-02 09:08:20,54.9%
2025-04-02 09:08:30,55.4%
2025-04-02 09:08:40,53.0%
2025-04-02 09:08:50,54.0%
2025-04-02 09:09:00,56.2%
2025-04-02 09:09:10,55.7%
2025-04-02 09:09:20,55.8%
2025-04-02 09:09:30,56.3%
2025-04-02 09:09:40,55.5%
2025-04-02 09:09:50,55.3%
