"Time","Redis"
2025-04-02 09:43:30,0.0103%
2025-04-02 09:43:40,0.0104%
2025-04-02 09:43:50,0.0105%
2025-04-02 09:44:00,0.0105%
2025-04-02 09:44:10,0.0103%
2025-04-02 09:44:20,0.0101%
2025-04-02 09:44:30,0.0102%
2025-04-02 09:44:40,0.0103%
2025-04-02 09:44:50,0.0102%
2025-04-02 09:45:00,0.0105%
2025-04-02 09:45:10,0.0101%
2025-04-02 09:45:20,0.0103%
2025-04-02 09:45:30,0.0104%
2025-04-02 09:45:40,0.0100%
2025-04-02 09:45:50,0.0101%
2025-04-02 09:46:00,0.0103%
2025-04-02 09:46:10,0.0105%
2025-04-02 09:46:20,0.0108%
2025-04-02 09:46:30,0.0109%
2025-04-02 09:46:40,0.0111%
2025-04-02 09:46:50,0.0108%
2025-04-02 09:47:00,0.0112%
2025-04-02 09:47:10,0.0108%
2025-04-02 09:47:20,0.0112%
2025-04-02 09:47:30,0.0109%
2025-04-02 09:47:40,0.0108%
2025-04-02 09:47:50,0.0108%
2025-04-02 09:48:00,0.0106%
2025-04-02 09:48:10,0.0104%
2025-04-02 09:48:20,0.0105%
2025-04-02 09:48:30,0.0104%
