"Time","Grouped CPU Load"
2025-04-02 12:06:20,26.8%
2025-04-02 12:06:30,58.1%
2025-04-02 12:06:40,58.9%
2025-04-02 12:06:50,58.0%
2025-04-02 12:07:00,58.0%
2025-04-02 12:07:10,57.9%
2025-04-02 12:07:20,57.0%
2025-04-02 12:07:30,57.8%
2025-04-02 12:07:40,57.6%
2025-04-02 12:07:50,58.3%
2025-04-02 12:08:00,58.2%
2025-04-02 12:08:10,57.7%
2025-04-02 12:08:20,56.9%
2025-04-02 12:08:30,57.6%
2025-04-02 12:08:40,55.1%
2025-04-02 12:08:50,56.2%
2025-04-02 12:09:00,57.5%
2025-04-02 12:09:10,59.2%
2025-04-02 12:09:20,56.5%
2025-04-02 12:09:30,58.1%
2025-04-02 12:09:40,57.8%
2025-04-02 12:09:50,57.0%
2025-04-02 12:10:00,58.7%
2025-04-02 12:10:10,58.7%
2025-04-02 12:10:20,58.5%
2025-04-02 12:10:30,57.8%
2025-04-02 12:10:40,58.8%
2025-04-02 12:10:50,58.4%
2025-04-02 12:11:00,58.6%
2025-04-02 12:11:10,60.0%
2025-04-02 12:11:20,58.4%
