"Time","Postgres"
2025-04-02 12:20:50,1.02%
2025-04-02 12:21:00,1.39%
2025-04-02 12:21:10,1.40%
2025-04-02 12:21:20,1.39%
2025-04-02 12:21:30,1.39%
2025-04-02 12:21:40,1.38%
2025-04-02 12:21:50,1.38%
2025-04-02 12:22:00,1.39%
2025-04-02 12:22:10,1.39%
2025-04-02 12:22:20,1.37%
2025-04-02 12:22:30,1.39%
2025-04-02 12:22:40,1.38%
2025-04-02 12:22:50,1.37%
2025-04-02 12:23:00,1.37%
2025-04-02 12:23:10,1.38%
2025-04-02 12:23:20,1.36%
2025-04-02 12:23:30,1.37%
2025-04-02 12:23:40,1.38%
2025-04-02 12:23:50,1.37%
2025-04-02 12:24:00,1.36%
2025-04-02 12:24:10,1.37%
2025-04-02 12:24:20,1.53%
2025-04-02 12:24:30,1.39%
2025-04-02 12:24:40,1.38%
2025-04-02 12:24:50,1.39%
2025-04-02 12:25:00,1.37%
2025-04-02 12:25:10,1.38%
2025-04-02 12:25:20,1.38%
2025-04-02 12:25:30,1.38%
2025-04-02 12:25:40,1.38%
2025-04-02 12:25:50,1.39%
