"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-02 12:40:43,30.5 W
2025-04-02 12:40:43,30.9 W
2025-04-02 12:40:44,30.9 W
2025-04-02 12:40:44,30.1 W
2025-04-02 12:40:45,30.7 W
2025-04-02 12:40:45,31.1 W
2025-04-02 12:40:46,30.1 W
2025-04-02 12:40:46,31.3 W
2025-04-02 12:40:47,29.7 W
2025-04-02 12:40:47,31.4 W
2025-04-02 12:40:48,30.2 W
2025-04-02 12:40:48,30.2 W
2025-04-02 12:40:49,31.5 W
2025-04-02 12:40:49,31.4 W
2025-04-02 12:40:50,31.6 W
2025-04-02 12:40:50,30.7 W
2025-04-02 12:40:51,31.9 W
2025-04-02 12:40:51,31.9 W
2025-04-02 12:40:52,30.2 W
2025-04-02 12:40:52,30.4 W
2025-04-02 12:40:53,31.2 W
2025-04-02 12:40:53,31.0 W
2025-04-02 12:40:54,30.2 W
2025-04-02 12:40:54,30.5 W
2025-04-02 12:40:55,30.6 W
2025-04-02 12:40:55,31.0 W
2025-04-02 12:40:56,30.6 W
2025-04-02 12:40:56,31.2 W
2025-04-02 12:40:57,30.3 W
2025-04-02 12:40:57,30.6 W
2025-04-02 12:40:58,30.3 W
2025-04-02 12:40:58,30.8 W
2025-04-02 12:40:59,30.0 W
2025-04-02 12:40:59,31.1 W
2025-04-02 12:41:00,30.4 W
2025-04-02 12:41:00,30.9 W
2025-04-02 12:41:01,30.6 W
2025-04-02 12:41:01,30.7 W
2025-04-02 12:41:02,30.1 W
2025-04-02 12:41:02,30.3 W
2025-04-02 12:41:03,31.0 W
2025-04-02 12:41:03,30.6 W
2025-04-02 12:41:04,30.8 W
2025-04-02 12:41:04,31.0 W
2025-04-02 12:41:05,30.4 W
2025-04-02 12:41:05,30.5 W
2025-04-02 12:41:06,30.4 W
2025-04-02 12:41:06,31.0 W
2025-04-02 12:41:07,31.6 W
2025-04-02 12:41:07,30.3 W
2025-04-02 12:41:08,30.5 W
2025-04-02 12:41:08,31.2 W
2025-04-02 12:41:09,31.0 W
2025-04-02 12:41:09,30.1 W
2025-04-02 12:41:10,31.7 W
2025-04-02 12:41:10,30.6 W
2025-04-02 12:41:11,30.0 W
2025-04-02 12:41:11,31.3 W
2025-04-02 12:41:12,30.8 W
