"Time","Postgres"
2025-04-03 09:57:30,0.0575%
2025-04-03 09:57:40,0.0222%
2025-04-03 09:57:50,0.0245%
2025-04-03 09:58:00,0.0215%
2025-04-03 09:58:10,0.0236%
2025-04-03 09:58:20,0.0213%
2025-04-03 09:58:30,0.0245%
2025-04-03 09:58:40,0.0222%
2025-04-03 09:58:50,0.0245%
2025-04-03 09:59:00,0.0238%
2025-04-03 09:59:10,0.0249%
2025-04-03 09:59:20,0.0230%
2025-04-03 09:59:30,0.0251%
2025-04-03 09:59:40,0.0229%
2025-04-03 09:59:50,0.0251%
2025-04-03 10:00:00,0.0237%
2025-04-03 10:00:10,0.0240%
2025-04-03 10:00:20,0.0231%
2025-04-03 10:00:30,0.0249%
2025-04-03 10:00:40,0.0236%
2025-04-03 10:00:50,0.0250%
2025-04-03 10:01:00,0.0236%
2025-04-03 10:01:10,0.0250%
2025-04-03 10:01:20,0.0239%
2025-04-03 10:01:30,0.0240%
2025-04-03 10:01:40,0.0221%
2025-04-03 10:01:50,0.0251%
2025-04-03 10:02:00,0.0236%
2025-04-03 10:02:10,0.0246%
2025-04-03 10:02:20,0.0541%
2025-04-03 10:02:30,0.0240%
