"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 09:36:10,32.4 W
2025-04-03 09:36:10,30.7 W
2025-04-03 09:36:11,33.2 W
2025-04-03 09:36:11,32.1 W
2025-04-03 09:36:12,32.5 W
2025-04-03 09:36:12,33.0 W
2025-04-03 09:36:13,32.7 W
2025-04-03 09:36:13,31.8 W
2025-04-03 09:36:14,29.0 W
2025-04-03 09:36:14,27.4 W
2025-04-03 09:36:15,24.6 W
2025-04-03 09:36:15,27.5 W
2025-04-03 09:36:16,26.7 W
2025-04-03 09:36:16,26.1 W
2025-04-03 09:36:17,26.2 W
2025-04-03 09:36:17,26.2 W
2025-04-03 09:36:18,25.8 W
2025-04-03 09:36:18,24.9 W
2025-04-03 09:36:19,27.0 W
2025-04-03 09:36:19,26.8 W
2025-04-03 09:36:20,26.6 W
2025-04-03 09:36:20,25.7 W
2025-04-03 09:36:21,25.3 W
2025-04-03 09:36:21,24.9 W
2025-04-03 09:36:22,25.1 W
2025-04-03 09:36:22,25.0 W
2025-04-03 09:36:23,24.5 W
2025-04-03 09:36:23,25.1 W
2025-04-03 09:36:24,27.1 W
2025-04-03 09:36:24,26.4 W
2025-04-03 09:36:25,25.8 W
2025-04-03 09:36:25,25.9 W
2025-04-03 09:36:26,24.0 W
2025-04-03 09:36:26,24.3 W
2025-04-03 09:36:27,23.8 W
2025-04-03 09:36:27,25.8 W
2025-04-03 09:36:28,28.3 W
2025-04-03 09:36:28,27.7 W
2025-04-03 09:36:29,26.4 W
2025-04-03 09:36:29,27.7 W
2025-04-03 09:36:30,26.6 W
2025-04-03 09:36:30,26.1 W
2025-04-03 09:36:31,27.2 W
2025-04-03 09:36:31,27.0 W
2025-04-03 09:36:32,25.6 W
2025-04-03 09:36:32,26.1 W
2025-04-03 09:36:33,27.0 W
2025-04-03 09:36:34,26.5 W
2025-04-03 09:36:34,26.3 W
2025-04-03 09:36:35,27.6 W
2025-04-03 09:36:35,26.7 W
2025-04-03 09:36:36,26.4 W
2025-04-03 09:36:36,25.5 W
2025-04-03 09:36:37,25.5 W
2025-04-03 09:36:37,25.5 W
2025-04-03 09:36:38,24.9 W
2025-04-03 09:36:38,25.6 W
2025-04-03 09:36:39,25.5 W
2025-04-03 09:36:39,25.5 W
2025-04-03 09:36:40,25.6 W
2025-04-03 09:36:40,25.5 W
2025-04-03 09:36:41,28.0 W
2025-04-03 09:36:41,26.3 W
2025-04-03 09:36:42,26.3 W
2025-04-03 09:36:42,27.0 W
2025-04-03 09:36:43,26.3 W
2025-04-03 09:36:43,25.4 W
2025-04-03 09:36:44,26.3 W
2025-04-03 09:36:44,26.8 W
2025-04-03 09:36:45,26.6 W
2025-04-03 09:36:45,26.4 W
2025-04-03 09:36:46,27.1 W
2025-04-03 09:36:46,25.5 W
2025-04-03 09:36:47,25.4 W
2025-04-03 09:36:47,24.2 W
2025-04-03 09:36:48,23.8 W
2025-04-03 09:36:48,27.6 W
2025-04-03 09:36:49,26.2 W
2025-04-03 09:36:49,26.1 W
2025-04-03 09:36:50,25.2 W
2025-04-03 09:36:50,25.8 W
2025-04-03 09:36:51,27.3 W
2025-04-03 09:36:51,26.6 W
2025-04-03 09:36:52,26.2 W
2025-04-03 09:36:52,25.9 W
2025-04-03 09:36:53,25.9 W
2025-04-03 09:36:53,26.4 W
2025-04-03 09:36:54,27.0 W
2025-04-03 09:36:54,26.2 W
2025-04-03 09:36:55,23.5 W
2025-04-03 09:36:55,25.0 W
2025-04-03 09:36:56,26.4 W
2025-04-03 09:36:56,26.8 W
2025-04-03 09:36:57,27.5 W
2025-04-03 09:36:57,26.7 W
2025-04-03 09:36:58,27.2 W
2025-04-03 09:36:58,25.6 W
2025-04-03 09:36:59,26.4 W
2025-04-03 09:36:59,24.3 W
2025-04-03 09:37:00,26.5 W
2025-04-03 09:37:00,25.9 W
2025-04-03 09:37:01,28.8 W
2025-04-03 09:37:01,26.2 W
2025-04-03 09:37:02,25.5 W
2025-04-03 09:37:02,26.5 W
2025-04-03 09:37:03,26.0 W
2025-04-03 09:37:03,26.8 W
2025-04-03 09:37:04,26.3 W
2025-04-03 09:37:04,24.8 W
2025-04-03 09:37:05,26.2 W
2025-04-03 09:37:05,26.4 W
2025-04-03 09:37:06,27.2 W
2025-04-03 09:37:06,26.8 W
2025-04-03 09:37:07,26.5 W
2025-04-03 09:37:07,25.6 W
2025-04-03 09:37:08,26.7 W
2025-04-03 09:37:08,25.9 W
2025-04-03 09:37:09,25.8 W
2025-04-03 09:37:09,25.5 W
2025-04-03 09:37:10,27.3 W
2025-04-03 09:37:10,27.2 W
2025-04-03 09:37:11,26.6 W
2025-04-03 09:37:11,26.6 W
2025-04-03 09:37:12,26.0 W
2025-04-03 09:37:12,28.2 W
2025-04-03 09:37:13,25.4 W
2025-04-03 09:37:13,25.5 W
2025-04-03 09:37:14,26.8 W
2025-04-03 09:37:14,25.7 W
2025-04-03 09:37:15,26.7 W
2025-04-03 09:37:15,26.2 W
2025-04-03 09:37:16,26.1 W
2025-04-03 09:37:16,24.1 W
2025-04-03 09:37:17,26.9 W
2025-04-03 09:37:17,25.8 W
2025-04-03 09:37:18,26.1 W
2025-04-03 09:37:18,25.4 W
2025-04-03 09:37:19,25.3 W
2025-04-03 09:37:19,25.2 W
2025-04-03 09:37:20,25.2 W
2025-04-03 09:37:20,25.7 W
2025-04-03 09:37:21,26.2 W
2025-04-03 09:37:21,27.6 W
2025-04-03 09:37:22,26.7 W
2025-04-03 09:37:22,24.8 W
