"Time","Redis"
2025-04-03 09:42:30,0.233%
2025-04-03 09:42:40,2.16%
2025-04-03 09:42:50,2.12%
2025-04-03 09:43:00,2.13%
2025-04-03 09:43:10,2.10%
2025-04-03 09:43:20,2.12%
2025-04-03 09:43:30,2.12%
2025-04-03 09:43:40,2.01%
2025-04-03 09:43:50,1.97%
2025-04-03 09:44:00,2.07%
2025-04-03 09:44:10,2.05%
2025-04-03 09:44:20,2.10%
2025-04-03 09:44:30,2.10%
2025-04-03 09:44:40,2.05%
2025-04-03 09:44:50,2.24%
2025-04-03 09:45:00,2.09%
2025-04-03 09:45:10,2.20%
2025-04-03 09:45:20,2.06%
2025-04-03 09:45:30,2.06%
2025-04-03 09:45:40,2.07%
2025-04-03 09:45:50,2.11%
2025-04-03 09:46:00,2.13%
2025-04-03 09:46:10,2.07%
2025-04-03 09:46:20,2.01%
2025-04-03 09:46:30,1.94%
2025-04-03 09:46:40,2.12%
2025-04-03 09:46:50,2.10%
2025-04-03 09:47:00,1.94%
2025-04-03 09:47:10,2.03%
2025-04-03 09:47:20,2.04%
2025-04-03 09:47:30,2.03%
