"Time","GraphQL server"
2025-04-03 09:36:10,0.273%
2025-04-03 09:36:20,7.82%
2025-04-03 09:36:30,7.22%
2025-04-03 09:36:40,7.33%
2025-04-03 09:36:50,7.32%
2025-04-03 09:37:00,7.17%
2025-04-03 09:37:10,7.36%
2025-04-03 09:37:20,7.22%
2025-04-03 09:37:30,7.37%
2025-04-03 09:37:40,7.17%
2025-04-03 09:37:50,7.41%
2025-04-03 09:38:00,7.20%
2025-04-03 09:38:10,7.16%
2025-04-03 09:38:20,7.37%
2025-04-03 09:38:30,7.15%
2025-04-03 09:38:40,7.45%
2025-04-03 09:38:50,7.14%
2025-04-03 09:39:00,7.13%
2025-04-03 09:39:10,7.51%
2025-04-03 09:39:20,7.20%
2025-04-03 09:39:30,7.10%
2025-04-03 09:39:40,7.52%
2025-04-03 09:39:50,7.14%
2025-04-03 09:40:00,7.14%
2025-04-03 09:40:10,7.51%
2025-04-03 09:40:20,7.16%
2025-04-03 09:40:30,7.13%
2025-04-03 09:40:40,7.56%
2025-04-03 09:40:50,7.13%
2025-04-03 09:41:00,7.16%
2025-04-03 09:41:10,7.20%
