"Time","Grouped CPU Load"
2025-04-03 08:45:50,1.55%
2025-04-03 08:46:00,37.7%
2025-04-03 08:46:10,36.4%
2025-04-03 08:46:20,36.9%
2025-04-03 08:46:30,36.6%
2025-04-03 08:46:40,36.1%
2025-04-03 08:46:50,36.0%
2025-04-03 08:47:00,35.8%
2025-04-03 08:47:10,35.7%
2025-04-03 08:47:20,36.2%
2025-04-03 08:47:30,35.6%
2025-04-03 08:47:40,35.7%
2025-04-03 08:47:50,36.2%
2025-04-03 08:48:00,35.8%
2025-04-03 08:48:10,35.9%
2025-04-03 08:48:20,36.3%
2025-04-03 08:48:30,36.0%
2025-04-03 08:48:40,36.6%
2025-04-03 08:48:50,36.3%
2025-04-03 08:49:00,36.8%
2025-04-03 08:49:10,36.6%
2025-04-03 08:49:20,36.8%
2025-04-03 08:49:30,36.8%
2025-04-03 08:49:40,36.0%
2025-04-03 08:49:50,36.6%
2025-04-03 08:50:00,37.0%
2025-04-03 08:50:10,36.0%
2025-04-03 08:50:20,36.7%
2025-04-03 08:50:30,37.8%
2025-04-03 08:50:40,37.0%
2025-04-03 08:50:50,36.8%
