"Time","Postgres"
2025-04-03 08:45:50,0.0000425%
2025-04-03 08:46:00,2.09%
2025-04-03 08:46:10,2.03%
2025-04-03 08:46:20,2.13%
2025-04-03 08:46:30,2.07%
2025-04-03 08:46:40,2.14%
2025-04-03 08:46:50,2.03%
2025-04-03 08:47:00,2.14%
2025-04-03 08:47:10,2.04%
2025-04-03 08:47:20,2.19%
2025-04-03 08:47:30,2.09%
2025-04-03 08:47:40,2.20%
2025-04-03 08:47:50,2.03%
2025-04-03 08:48:00,2.11%
2025-04-03 08:48:10,1.99%
2025-04-03 08:48:20,2.05%
2025-04-03 08:48:30,1.99%
2025-04-03 08:48:40,2.06%
2025-04-03 08:48:50,1.99%
2025-04-03 08:49:00,2.08%
2025-04-03 08:49:10,2.01%
2025-04-03 08:49:20,1.90%
2025-04-03 08:49:30,2.09%
2025-04-03 08:49:40,2.06%
2025-04-03 08:49:50,1.96%
2025-04-03 08:50:00,2.09%
2025-04-03 08:50:10,2.06%
2025-04-03 08:50:20,2.00%
2025-04-03 08:50:30,1.88%
2025-04-03 08:50:40,2.09%
2025-04-03 08:50:50,2.00%
