"Time","Redis"
2025-04-03 08:59:40,0.0106%
2025-04-03 08:59:50,0.0105%
2025-04-03 09:00:00,0.0107%
2025-04-03 09:00:10,0.0107%
2025-04-03 09:00:20,0.0107%
2025-04-03 09:00:30,0.0111%
2025-04-03 09:00:40,0.0107%
2025-04-03 09:00:50,0.0112%
2025-04-03 09:01:00,0.0109%
2025-04-03 09:01:10,0.0112%
2025-04-03 09:01:20,0.0116%
2025-04-03 09:01:30,0.0106%
2025-04-03 09:01:40,0.0113%
2025-04-03 09:01:50,0.0108%
2025-04-03 09:02:00,0.0114%
2025-04-03 09:02:10,0.0111%
2025-04-03 09:02:20,0.0110%
2025-04-03 09:02:30,0.0107%
2025-04-03 09:02:40,0.0105%
2025-04-03 09:02:50,0.0115%
2025-04-03 09:03:00,0.0112%
2025-04-03 09:03:10,0.0111%
2025-04-03 09:03:20,0.0110%
2025-04-03 09:03:30,0.0113%
2025-04-03 09:03:40,0.0113%
2025-04-03 09:03:50,0.0111%
2025-04-03 09:04:00,0.0110%
2025-04-03 09:04:10,0.0115%
2025-04-03 09:04:20,0.0103%
2025-04-03 09:04:30,0.0117%
2025-04-03 09:04:40,0.0103%
