"Time","GraphQL server"
2025-04-03 08:45:50,1.54%
2025-04-03 08:46:00,35.6%
2025-04-03 08:46:10,34.3%
2025-04-03 08:46:20,34.7%
2025-04-03 08:46:30,34.5%
2025-04-03 08:46:40,34.0%
2025-04-03 08:46:50,34.0%
2025-04-03 08:47:00,33.7%
2025-04-03 08:47:10,33.7%
2025-04-03 08:47:20,34.0%
2025-04-03 08:47:30,33.5%
2025-04-03 08:47:40,33.5%
2025-04-03 08:47:50,34.1%
2025-04-03 08:48:00,33.6%
2025-04-03 08:48:10,33.9%
2025-04-03 08:48:20,34.3%
2025-04-03 08:48:30,34.0%
2025-04-03 08:48:40,34.5%
2025-04-03 08:48:50,34.3%
2025-04-03 08:49:00,34.7%
2025-04-03 08:49:10,34.5%
2025-04-03 08:49:20,34.9%
2025-04-03 08:49:30,34.7%
2025-04-03 08:49:40,34.0%
2025-04-03 08:49:50,34.7%
2025-04-03 08:50:00,34.9%
2025-04-03 08:50:10,34.0%
2025-04-03 08:50:20,34.7%
2025-04-03 08:50:30,35.9%
2025-04-03 08:50:40,34.9%
2025-04-03 08:50:50,34.8%
