"Time","Postgres"
2025-04-03 10:43:20,0.00875%
2025-04-03 10:43:30,0.0172%
2025-04-03 10:43:40,0.0148%
2025-04-03 10:43:50,0.0163%
2025-04-03 10:44:00,0.0170%
2025-04-03 10:44:10,0.0192%
2025-04-03 10:44:20,0.0136%
2025-04-03 10:44:30,0.0156%
2025-04-03 10:44:40,0.0132%
2025-04-03 10:44:50,0.0155%
2025-04-03 10:45:00,0.0160%
2025-04-03 10:45:10,0.0160%
2025-04-03 10:45:20,0.0427%
2025-04-03 10:45:30,0.0171%
2025-04-03 10:45:40,0.0138%
2025-04-03 10:45:50,0.0157%
2025-04-03 10:46:00,0.0160%
2025-04-03 10:46:10,0.0176%
2025-04-03 10:46:20,0.0155%
2025-04-03 10:46:30,0.0157%
2025-04-03 10:46:40,0.0134%
2025-04-03 10:46:50,0.0161%
2025-04-03 10:47:00,0.0151%
2025-04-03 10:47:10,0.0184%
2025-04-03 10:47:20,0.0142%
2025-04-03 10:47:30,0.0171%
2025-04-03 10:47:40,0.0132%
2025-04-03 10:47:50,0.0152%
2025-04-03 10:48:00,0.0126%
2025-04-03 10:48:10,0.0155%
2025-04-03 10:48:20,0.0125%
