"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 10:43:20,26.6 W
2025-04-03 10:43:21,26.5 W
2025-04-03 10:43:21,25.2 W
2025-04-03 10:43:22,25.6 W
2025-04-03 10:43:22,27.0 W
2025-04-03 10:43:23,26.3 W
2025-04-03 10:43:23,27.1 W
2025-04-03 10:43:24,27.9 W
2025-04-03 10:43:24,26.4 W
2025-04-03 10:43:25,27.9 W
2025-04-03 10:43:25,28.5 W
2025-04-03 10:43:26,27.0 W
2025-04-03 10:43:26,25.4 W
2025-04-03 10:43:27,25.2 W
2025-04-03 10:43:27,25.2 W
2025-04-03 10:43:28,25.6 W
2025-04-03 10:43:28,26.0 W
2025-04-03 10:43:29,25.6 W
2025-04-03 10:43:29,25.9 W
2025-04-03 10:43:30,27.3 W
2025-04-03 10:43:30,25.1 W
2025-04-03 10:43:31,25.3 W
2025-04-03 10:43:31,24.6 W
2025-04-03 10:43:32,25.1 W
2025-04-03 10:43:32,25.6 W
2025-04-03 10:43:33,26.1 W
2025-04-03 10:43:33,24.9 W
2025-04-03 10:43:34,25.0 W
2025-04-03 10:43:34,24.9 W
2025-04-03 10:43:35,24.9 W
2025-04-03 10:43:35,24.6 W
2025-04-03 10:43:36,24.5 W
2025-04-03 10:43:36,24.4 W
2025-04-03 10:43:37,24.7 W
2025-04-03 10:43:37,24.7 W
2025-04-03 10:43:38,24.7 W
2025-04-03 10:43:38,24.6 W
2025-04-03 10:43:39,24.6 W
2025-04-03 10:43:39,24.6 W
2025-04-03 10:43:40,24.4 W
2025-04-03 10:43:40,25.5 W
2025-04-03 10:43:41,26.7 W
2025-04-03 10:43:41,27.3 W
2025-04-03 10:43:42,27.3 W
2025-04-03 10:43:42,29.6 W
2025-04-03 10:43:43,27.4 W
2025-04-03 10:43:43,27.7 W
2025-04-03 10:43:44,26.9 W
2025-04-03 10:43:44,27.3 W
