"Time","Redis"
2025-04-03 10:43:20,0.709%
2025-04-03 10:43:30,1.45%
2025-04-03 10:43:40,1.44%
2025-04-03 10:43:50,1.44%
2025-04-03 10:44:00,1.41%
2025-04-03 10:44:10,1.38%
2025-04-03 10:44:20,1.43%
2025-04-03 10:44:30,1.46%
2025-04-03 10:44:40,1.47%
2025-04-03 10:44:50,1.45%
2025-04-03 10:45:00,1.34%
2025-04-03 10:45:10,1.40%
2025-04-03 10:45:20,1.43%
2025-04-03 10:45:30,1.43%
2025-04-03 10:45:40,1.43%
2025-04-03 10:45:50,1.42%
2025-04-03 10:46:00,1.34%
2025-04-03 10:46:10,1.32%
2025-04-03 10:46:20,1.30%
2025-04-03 10:46:30,1.40%
2025-04-03 10:46:40,1.44%
2025-04-03 10:46:50,1.42%
2025-04-03 10:47:00,1.38%
2025-04-03 10:47:10,1.34%
2025-04-03 10:47:20,1.37%
2025-04-03 10:47:30,1.36%
2025-04-03 10:47:40,1.42%
2025-04-03 10:47:50,1.42%
2025-04-03 10:48:00,1.42%
2025-04-03 10:48:10,1.36%
2025-04-03 10:48:20,1.36%
