"Time","GraphQL server"
2025-04-03 10:19:10,4.08%
2025-04-03 10:19:20,6.52%
2025-04-03 10:19:30,6.56%
2025-04-03 10:19:40,6.68%
2025-04-03 10:19:50,6.52%
2025-04-03 10:20:00,6.51%
2025-04-03 10:20:10,6.83%
2025-04-03 10:20:20,6.53%
2025-04-03 10:20:30,6.51%
2025-04-03 10:20:40,6.53%
2025-04-03 10:20:50,6.53%
2025-04-03 10:21:00,6.53%
2025-04-03 10:21:10,6.99%
2025-04-03 10:21:20,6.53%
2025-04-03 10:21:30,6.52%
2025-04-03 10:21:40,6.52%
2025-04-03 10:21:50,6.52%
2025-04-03 10:22:00,6.52%
2025-04-03 10:22:10,6.59%
2025-04-03 10:22:20,6.98%
2025-04-03 10:22:30,6.52%
2025-04-03 10:22:40,6.51%
2025-04-03 10:22:50,6.51%
2025-04-03 10:23:00,6.51%
2025-04-03 10:23:10,6.51%
2025-04-03 10:23:20,7.16%
2025-04-03 10:23:30,6.53%
2025-04-03 10:23:40,6.53%
2025-04-03 10:23:50,6.52%
2025-04-03 10:24:00,6.53%
2025-04-03 10:24:10,6.57%
