"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-02 09:19:10,30.5 W
2025-04-02 09:19:11,30.6 W
2025-04-02 09:19:11,30.6 W
2025-04-02 09:19:12,30.4 W
2025-04-02 09:19:12,30.6 W
2025-04-02 09:19:13,30.3 W
2025-04-02 09:19:13,30.2 W
2025-04-02 09:19:14,30.5 W
2025-04-02 09:19:14,30.5 W
2025-04-02 09:19:15,30.1 W
2025-04-02 09:19:15,30.4 W
2025-04-02 09:19:16,30.4 W
2025-04-02 09:19:16,30.3 W
2025-04-02 09:19:17,30.4 W
2025-04-02 09:19:17,30.1 W
2025-04-02 09:19:18,30.3 W
2025-04-02 09:19:18,30.3 W
2025-04-02 09:19:19,30.7 W
2025-04-02 09:19:19,30.2 W
2025-04-02 09:19:20,30.3 W
2025-04-02 09:19:20,30.4 W
2025-04-02 09:19:21,29.8 W
2025-04-02 09:19:21,29.9 W
2025-04-02 09:19:22,30.5 W
2025-04-02 09:19:22,29.4 W
2025-04-02 09:19:23,30.3 W
2025-04-02 09:19:23,30.4 W
2025-04-02 09:19:24,30.1 W
2025-04-02 09:19:24,30.7 W
2025-04-02 09:19:25,29.6 W
2025-04-02 09:19:25,30.7 W
2025-04-02 09:19:26,30.1 W
2025-04-02 09:19:26,30.0 W
2025-04-02 09:19:27,30.0 W
2025-04-02 09:19:27,30.2 W
2025-04-02 09:19:28,30.9 W
2025-04-02 09:19:28,30.1 W
2025-04-02 09:19:29,30.1 W
2025-04-02 09:19:29,30.2 W
2025-04-02 09:19:30,30.3 W
2025-04-02 09:19:30,30.5 W
2025-04-02 09:19:31,30.3 W
2025-04-02 09:19:31,29.8 W
2025-04-02 09:19:32,30.5 W
2025-04-02 09:19:32,30.1 W
2025-04-02 09:19:33,30.0 W
2025-04-02 09:19:33,30.4 W
2025-04-02 09:19:34,30.4 W
2025-04-02 09:19:34,29.9 W
2025-04-02 09:19:35,30.3 W
2025-04-02 09:19:35,29.9 W
2025-04-02 09:19:36,29.9 W
2025-04-02 09:19:36,30.7 W
2025-04-02 09:19:37,29.9 W
2025-04-02 09:19:37,30.2 W
2025-04-02 09:19:38,30.0 W
2025-04-02 09:19:38,30.0 W
2025-04-02 09:19:39,30.6 W
2025-04-02 09:19:39,30.3 W
2025-04-02 09:19:40,30.0 W
2025-04-02 09:19:40,30.3 W
2025-04-02 09:19:41,30.9 W
2025-04-02 09:19:41,31.4 W
2025-04-02 09:19:42,33.4 W
2025-04-02 09:19:42,31.7 W
