"Time","GraphQL server"
2025-04-02 09:13:00,57.0%
2025-04-02 09:13:10,57.3%
2025-04-02 09:13:20,57.4%
2025-04-02 09:13:30,57.4%
2025-04-02 09:13:40,57.1%
2025-04-02 09:13:50,56.4%
2025-04-02 09:14:00,57.3%
2025-04-02 09:14:10,57.2%
2025-04-02 09:14:20,57.3%
2025-04-02 09:14:30,57.2%
2025-04-02 09:14:40,57.3%
2025-04-02 09:14:50,56.7%
2025-04-02 09:15:00,57.0%
2025-04-02 09:15:10,56.9%
2025-04-02 09:15:20,57.2%
2025-04-02 09:15:30,57.5%
2025-04-02 09:15:40,57.1%
2025-04-02 09:15:50,56.4%
2025-04-02 09:16:00,56.5%
2025-04-02 09:16:10,56.3%
2025-04-02 09:16:20,57.0%
2025-04-02 09:16:30,57.0%
2025-04-02 09:16:40,56.9%
2025-04-02 09:16:50,55.1%
2025-04-02 09:17:00,55.2%
2025-04-02 09:17:10,56.8%
2025-04-02 09:17:20,55.4%
2025-04-02 09:17:30,55.3%
2025-04-02 09:17:40,56.6%
2025-04-02 09:17:50,56.4%
2025-04-02 09:18:00,55.8%
