"Time","Grouped CPU Load"
2025-04-02 09:43:30,35.5%
2025-04-02 09:43:40,58.5%
2025-04-02 09:43:50,58.4%
2025-04-02 09:44:00,58.6%
2025-04-02 09:44:10,59.1%
2025-04-02 09:44:20,59.3%
2025-04-02 09:44:30,57.8%
2025-04-02 09:44:40,58.5%
2025-04-02 09:44:50,58.4%
2025-04-02 09:45:00,58.5%
2025-04-02 09:45:10,58.4%
2025-04-02 09:45:20,58.8%
2025-04-02 09:45:30,57.8%
2025-04-02 09:45:40,58.3%
2025-04-02 09:45:50,58.7%
2025-04-02 09:46:00,58.8%
2025-04-02 09:46:10,56.8%
2025-04-02 09:46:20,55.3%
2025-04-02 09:46:30,54.9%
2025-04-02 09:46:40,55.7%
2025-04-02 09:46:50,57.0%
2025-04-02 09:47:00,53.2%
2025-04-02 09:47:10,56.9%
2025-04-02 09:47:20,53.5%
2025-04-02 09:47:30,54.0%
2025-04-02 09:47:40,55.4%
2025-04-02 09:47:50,56.0%
2025-04-02 09:48:00,56.8%
2025-04-02 09:48:10,57.9%
2025-04-02 09:48:20,58.1%
2025-04-02 09:48:30,56.6%
