"Time","Postgres"
2025-04-02 09:32:20,1.43%
2025-04-02 09:32:30,1.37%
2025-04-02 09:32:40,1.36%
2025-04-02 09:32:50,1.39%
2025-04-02 09:33:00,1.37%
2025-04-02 09:33:10,1.37%
2025-04-02 09:33:20,1.36%
2025-04-02 09:33:30,1.36%
2025-04-02 09:33:40,1.37%
2025-04-02 09:33:50,1.36%
2025-04-02 09:34:00,1.36%
2025-04-02 09:34:10,1.36%
2025-04-02 09:34:20,1.36%
2025-04-02 09:34:30,1.35%
2025-04-02 09:34:40,1.36%
2025-04-02 09:34:50,1.35%
2025-04-02 09:35:00,1.35%
2025-04-02 09:35:10,1.36%
2025-04-02 09:35:20,1.35%
2025-04-02 09:35:30,1.35%
2025-04-02 09:35:40,1.35%
2025-04-02 09:35:50,1.36%
2025-04-02 09:36:00,1.36%
2025-04-02 09:36:10,1.35%
2025-04-02 09:36:20,1.34%
2025-04-02 09:36:30,1.34%
2025-04-02 09:36:40,1.36%
2025-04-02 09:36:50,1.35%
2025-04-02 09:37:00,1.34%
2025-04-02 09:37:10,1.43%
2025-04-02 09:37:20,1.39%
