"Time","Redis"
2025-04-02 12:20:50,0.0102%
2025-04-02 12:21:00,0.0109%
2025-04-02 12:21:10,0.0112%
2025-04-02 12:21:20,0.0109%
2025-04-02 12:21:30,0.0105%
2025-04-02 12:21:40,0.0107%
2025-04-02 12:21:50,0.0111%
2025-04-02 12:22:00,0.0112%
2025-04-02 12:22:10,0.0109%
2025-04-02 12:22:20,0.0112%
2025-04-02 12:22:30,0.0108%
2025-04-02 12:22:40,0.0103%
2025-04-02 12:22:50,0.0106%
2025-04-02 12:23:00,0.0108%
2025-04-02 12:23:10,0.0109%
2025-04-02 12:23:20,0.0110%
2025-04-02 12:23:30,0.0109%
2025-04-02 12:23:40,0.0110%
2025-04-02 12:23:50,0.0108%
2025-04-02 12:24:00,0.0104%
2025-04-02 12:24:10,0.0107%
2025-04-02 12:24:20,0.0109%
2025-04-02 12:24:30,0.0109%
2025-04-02 12:24:40,0.0107%
2025-04-02 12:24:50,0.0107%
2025-04-02 12:25:00,0.0107%
2025-04-02 12:25:10,0.0105%
2025-04-02 12:25:20,0.0108%
2025-04-02 12:25:30,0.0106%
2025-04-02 12:25:40,0.0108%
2025-04-02 12:25:50,0.0103%
