"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 08:59:40,32.2 W
2025-04-03 08:59:41,32.3 W
2025-04-03 08:59:41,31.5 W
2025-04-03 08:59:42,30.0 W
2025-04-03 08:59:42,30.3 W
2025-04-03 08:59:43,30.1 W
2025-04-03 08:59:43,29.9 W
2025-04-03 08:59:44,32.8 W
2025-04-03 08:59:44,33.2 W
2025-04-03 08:59:45,31.0 W
2025-04-03 08:59:45,31.1 W
2025-04-03 08:59:46,31.3 W
2025-04-03 08:59:46,31.6 W
2025-04-03 08:59:47,32.1 W
2025-04-03 08:59:47,31.3 W
2025-04-03 08:59:48,31.8 W
2025-04-03 08:59:48,31.9 W
2025-04-03 08:59:49,30.9 W
2025-04-03 08:59:49,30.1 W
2025-04-03 08:59:50,29.4 W
2025-04-03 08:59:50,30.7 W
2025-04-03 08:59:51,30.7 W
2025-04-03 08:59:51,31.4 W
2025-04-03 08:59:52,31.0 W
2025-04-03 08:59:52,30.8 W
2025-04-03 08:59:53,30.7 W
2025-04-03 08:59:53,30.8 W
2025-04-03 08:59:54,30.6 W
2025-04-03 08:59:54,29.9 W
2025-04-03 08:59:55,30.7 W
2025-04-03 08:59:55,31.0 W
2025-04-03 08:59:56,31.0 W
2025-04-03 08:59:56,30.2 W
2025-04-03 08:59:57,30.5 W
2025-04-03 08:59:57,30.6 W
2025-04-03 08:59:58,31.4 W
2025-04-03 08:59:58,31.0 W
2025-04-03 08:59:59,31.0 W
2025-04-03 08:59:59,30.8 W
2025-04-03 09:00:00,31.7 W
2025-04-03 09:00:00,30.7 W
2025-04-03 09:00:01,32.0 W
2025-04-03 09:00:01,31.6 W
2025-04-03 09:00:02,30.8 W
2025-04-03 09:00:02,30.8 W
2025-04-03 09:00:03,30.6 W
2025-04-03 09:00:03,30.6 W
2025-04-03 09:00:04,30.5 W
2025-04-03 09:00:04,31.4 W
2025-04-03 09:00:05,30.8 W
2025-04-03 09:00:05,30.7 W
2025-04-03 09:00:06,31.0 W
2025-04-03 09:00:06,31.4 W
2025-04-03 09:00:07,32.1 W
2025-04-03 09:00:07,30.9 W
2025-04-03 09:00:08,31.0 W
