"Time","Postgres"
2025-04-03 08:32:20,1.08%
2025-04-03 08:32:30,2.13%
2025-04-03 08:32:40,1.98%
2025-04-03 08:32:50,2.01%
2025-04-03 08:33:00,2.23%
2025-04-03 08:33:10,2.10%
2025-04-03 08:33:20,1.96%
2025-04-03 08:33:30,2.15%
2025-04-03 08:33:40,2.10%
2025-04-03 08:33:50,1.95%
2025-04-03 08:34:00,2.10%
2025-04-03 08:34:10,2.06%
2025-04-03 08:34:20,1.96%
2025-04-03 08:34:30,2.08%
2025-04-03 08:34:40,2.07%
2025-04-03 08:34:50,1.97%
2025-04-03 08:35:00,2.06%
2025-04-03 08:35:10,2.04%
2025-04-03 08:35:20,1.99%
2025-04-03 08:35:30,1.97%
2025-04-03 08:35:40,2.06%
2025-04-03 08:35:50,2.10%
2025-04-03 08:36:00,1.93%
2025-04-03 08:36:10,2.08%
2025-04-03 08:36:20,1.99%
2025-04-03 08:36:30,1.92%
2025-04-03 08:36:40,1.91%
2025-04-03 08:36:50,1.96%
2025-04-03 08:37:00,1.93%
2025-04-03 08:37:10,1.88%
2025-04-03 08:37:20,2.06%
