"Time","GraphQL server"
2025-04-03 08:59:40,28.4%
2025-04-03 08:59:50,34.2%
2025-04-03 09:00:00,34.1%
2025-04-03 09:00:10,33.9%
2025-04-03 09:00:20,34.4%
2025-04-03 09:00:30,33.7%
2025-04-03 09:00:40,34.3%
2025-04-03 09:00:50,33.4%
2025-04-03 09:01:00,33.6%
2025-04-03 09:01:10,33.3%
2025-04-03 09:01:20,33.7%
2025-04-03 09:01:30,33.9%
2025-04-03 09:01:40,34.5%
2025-04-03 09:01:50,33.6%
2025-04-03 09:02:00,33.8%
2025-04-03 09:02:10,33.4%
2025-04-03 09:02:20,34.1%
2025-04-03 09:02:30,33.2%
2025-04-03 09:02:40,34.6%
2025-04-03 09:02:50,33.7%
2025-04-03 09:03:00,34.1%
2025-04-03 09:03:10,33.7%
2025-04-03 09:03:20,34.4%
2025-04-03 09:03:30,33.9%
2025-04-03 09:03:40,34.4%
2025-04-03 09:03:50,34.6%
2025-04-03 09:04:00,34.1%
2025-04-03 09:04:10,34.3%
2025-04-03 09:04:20,34.1%
2025-04-03 09:04:30,34.5%
2025-04-03 09:04:40,34.9%
