"Time","Grouped CPU Load"
2025-04-03 10:36:50,0.955%
2025-04-03 10:37:00,8.38%
2025-04-03 10:37:10,8.06%
2025-04-03 10:37:20,8.07%
2025-04-03 10:37:30,8.28%
2025-04-03 10:37:40,8.08%
2025-04-03 10:37:50,8.03%
2025-04-03 10:38:00,8.33%
2025-04-03 10:38:10,8.08%
2025-04-03 10:38:20,8.08%
2025-04-03 10:38:30,8.07%
2025-04-03 10:38:40,8.04%
2025-04-03 10:38:50,8.00%
2025-04-03 10:39:00,8.44%
2025-04-03 10:39:10,8.08%
2025-04-03 10:39:20,8.09%
2025-04-03 10:39:30,8.06%
2025-04-03 10:39:40,8.03%
2025-04-03 10:39:50,7.98%
2025-04-03 10:40:00,7.99%
2025-04-03 10:40:10,8.54%
2025-04-03 10:40:20,8.13%
2025-04-03 10:40:30,8.03%
2025-04-03 10:40:40,8.05%
2025-04-03 10:40:50,8.01%
2025-04-03 10:41:00,8.01%
2025-04-03 10:41:10,8.65%
2025-04-03 10:41:20,8.07%
2025-04-03 10:41:30,8.04%
2025-04-03 10:41:40,8.03%
2025-04-03 10:41:50,8.02%
