"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 10:19:10,26.2 W
2025-04-03 10:19:10,25.0 W
2025-04-03 10:19:11,25.5 W
2025-04-03 10:19:11,25.6 W
2025-04-03 10:19:12,24.4 W
2025-04-03 10:19:12,24.4 W
2025-04-03 10:19:13,24.5 W
2025-04-03 10:19:13,24.1 W
2025-04-03 10:19:14,24.0 W
2025-04-03 10:19:14,24.4 W
2025-04-03 10:19:15,25.6 W
2025-04-03 10:19:15,27.8 W
2025-04-03 10:19:16,27.9 W
2025-04-03 10:19:16,27.6 W
2025-04-03 10:19:17,27.4 W
2025-04-03 10:19:17,26.5 W
2025-04-03 10:19:18,26.9 W
2025-04-03 10:19:18,26.4 W
2025-04-03 10:19:19,27.2 W
2025-04-03 10:19:19,27.2 W
2025-04-03 10:19:20,27.7 W
2025-04-03 10:19:20,27.0 W
2025-04-03 10:19:21,28.7 W
2025-04-03 10:19:21,27.4 W
2025-04-03 10:19:22,25.3 W
2025-04-03 10:19:22,24.4 W
2025-04-03 10:19:23,24.7 W
2025-04-03 10:19:23,24.8 W
2025-04-03 10:19:24,24.3 W
2025-04-03 10:19:24,24.0 W
2025-04-03 10:19:25,24.2 W
2025-04-03 10:19:25,25.2 W
2025-04-03 10:19:26,28.2 W
2025-04-03 10:19:26,27.8 W
2025-04-03 10:19:27,26.9 W
2025-04-03 10:19:27,25.6 W
2025-04-03 10:19:28,25.1 W
2025-04-03 10:19:28,24.9 W
2025-04-03 10:19:29,24.7 W
2025-04-03 10:19:29,25.9 W
2025-04-03 10:19:30,24.1 W
2025-04-03 10:19:30,24.0 W
2025-04-03 10:19:31,24.5 W
2025-04-03 10:19:31,25.6 W
2025-04-03 10:19:32,24.1 W
2025-04-03 10:19:32,24.1 W
2025-04-03 10:19:33,24.0 W
2025-04-03 10:19:33,24.1 W
2025-04-03 10:19:34,24.1 W
2025-04-03 10:19:34,24.3 W
2025-04-03 10:19:35,24.2 W
2025-04-03 10:19:35,25.2 W
2025-04-03 10:19:36,25.1 W
2025-04-03 10:19:36,25.3 W
2025-04-03 10:19:37,25.7 W
2025-04-03 10:19:37,25.2 W
2025-04-03 10:19:38,24.8 W
2025-04-03 10:19:38,26.5 W
2025-04-03 10:19:39,27.1 W
2025-04-03 10:19:39,27.4 W
2025-04-03 10:19:40,28.1 W
2025-04-03 10:19:40,27.7 W
2025-04-03 10:19:41,27.3 W
2025-04-03 10:19:41,26.6 W
2025-04-03 10:19:42,25.8 W
2025-04-03 10:19:42,25.3 W
2025-04-03 10:19:43,24.6 W
2025-04-03 10:19:43,24.2 W
2025-04-03 10:19:44,24.4 W
2025-04-03 10:19:44,24.9 W
2025-04-03 10:19:45,24.5 W
2025-04-03 10:19:45,26.4 W
2025-04-03 10:19:46,27.7 W
2025-04-03 10:19:46,26.6 W
2025-04-03 10:19:47,27.6 W
2025-04-03 10:19:47,26.4 W
2025-04-03 10:19:48,26.5 W
2025-04-03 10:19:48,25.8 W
2025-04-03 10:19:49,24.7 W
2025-04-03 10:19:49,24.8 W
2025-04-03 10:19:50,26.1 W
2025-04-03 10:19:50,25.0 W
2025-04-03 10:19:51,24.7 W
2025-04-03 10:19:51,27.1 W
2025-04-03 10:19:52,26.0 W
2025-04-03 10:19:52,24.8 W
2025-04-03 10:19:53,25.9 W
2025-04-03 10:19:53,25.0 W
2025-04-03 10:19:54,26.1 W
2025-04-03 10:19:54,26.9 W
2025-04-03 10:19:55,26.1 W
2025-04-03 10:19:55,26.4 W
2025-04-03 10:19:56,25.2 W
2025-04-03 10:19:56,25.4 W
2025-04-03 10:19:57,24.8 W
2025-04-03 10:19:57,25.8 W
2025-04-03 10:19:58,24.7 W
2025-04-03 10:19:58,24.2 W
2025-04-03 10:19:59,25.6 W
2025-04-03 10:19:59,24.6 W
2025-04-03 10:20:00,24.4 W
2025-04-03 10:20:00,24.3 W
2025-04-03 10:20:01,25.0 W
2025-04-03 10:20:01,26.3 W
2025-04-03 10:20:02,27.2 W
2025-04-03 10:20:03,26.2 W
2025-04-03 10:20:03,25.9 W
2025-04-03 10:20:04,27.3 W
2025-04-03 10:20:04,28.7 W
2025-04-03 10:20:05,26.4 W
2025-04-03 10:20:05,25.5 W
2025-04-03 10:20:06,26.0 W
2025-04-03 10:20:06,26.4 W
2025-04-03 10:20:07,25.5 W
2025-04-03 10:20:07,26.7 W
2025-04-03 10:20:08,25.6 W
2025-04-03 10:20:08,27.0 W
2025-04-03 10:20:09,27.4 W
2025-04-03 10:20:09,27.3 W
2025-04-03 10:20:10,25.9 W
2025-04-03 10:20:10,25.9 W
2025-04-03 10:20:11,26.0 W
2025-04-03 10:20:11,26.3 W
2025-04-03 10:20:12,26.3 W
2025-04-03 10:20:12,26.7 W
2025-04-03 10:20:13,25.6 W
2025-04-03 10:20:13,25.0 W
2025-04-03 10:20:14,25.8 W
2025-04-03 10:20:14,24.6 W
2025-04-03 10:20:15,24.7 W
2025-04-03 10:20:15,24.6 W
2025-04-03 10:20:16,24.8 W
2025-04-03 10:20:16,24.8 W
2025-04-03 10:20:17,24.2 W
2025-04-03 10:20:17,24.0 W
2025-04-03 10:20:18,24.7 W
2025-04-03 10:20:18,25.3 W
2025-04-03 10:20:19,24.4 W
2025-04-03 10:20:19,25.7 W
2025-04-03 10:20:20,25.6 W
2025-04-03 10:20:20,25.2 W
2025-04-03 10:20:21,26.1 W
2025-04-03 10:20:21,26.9 W
2025-04-03 10:20:22,25.7 W
2025-04-03 10:20:22,26.0 W
2025-04-03 10:20:23,27.0 W
2025-04-03 10:20:23,25.5 W
2025-04-03 10:20:24,26.0 W
2025-04-03 10:20:24,26.9 W
2025-04-03 10:20:25,26.1 W
2025-04-03 10:20:25,27.5 W
2025-04-03 10:20:26,26.5 W
2025-04-03 10:20:26,25.8 W
2025-04-03 10:20:27,26.4 W
2025-04-03 10:20:27,27.6 W
2025-04-03 10:20:28,27.7 W
2025-04-03 10:20:28,28.0 W
2025-04-03 10:20:29,28.1 W
2025-04-03 10:20:29,25.9 W
2025-04-03 10:20:30,25.8 W
2025-04-03 10:20:30,26.2 W
2025-04-03 10:20:31,24.9 W
2025-04-03 10:20:31,27.5 W
2025-04-03 10:20:32,26.1 W
2025-04-03 10:20:32,27.1 W
