"Time","Postgres"
2025-04-03 10:19:10,0.0317%
2025-04-03 10:19:20,0.0147%
2025-04-03 10:19:30,0.0176%
2025-04-03 10:19:40,0.0140%
2025-04-03 10:19:50,0.0170%
2025-04-03 10:20:00,0.0149%
2025-04-03 10:20:10,0.0167%
2025-04-03 10:20:20,0.0156%
2025-04-03 10:20:30,0.0172%
2025-04-03 10:20:40,0.0168%
2025-04-03 10:20:50,0.0196%
2025-04-03 10:21:00,0.0167%
2025-04-03 10:21:10,0.0199%
2025-04-03 10:21:20,0.0166%
2025-04-03 10:21:30,0.0175%
2025-04-03 10:21:40,0.0159%
2025-04-03 10:21:50,0.0165%
2025-04-03 10:22:00,0.0158%
2025-04-03 10:22:10,0.0178%
2025-04-03 10:22:20,0.0150%
2025-04-03 10:22:30,0.0163%
2025-04-03 10:22:40,0.0154%
2025-04-03 10:22:50,0.0178%
2025-04-03 10:23:00,0.0151%
2025-04-03 10:23:10,0.0182%
2025-04-03 10:23:20,0.0175%
2025-04-03 10:23:30,0.0201%
2025-04-03 10:23:40,0.0178%
2025-04-03 10:23:50,0.0195%
2025-04-03 10:24:00,0.0169%
2025-04-03 10:24:10,0.0372%
