"Time","Redis"
2025-04-03 10:36:50,0.0451%
2025-04-03 10:37:00,1.42%
2025-04-03 10:37:10,1.39%
2025-04-03 10:37:20,1.38%
2025-04-03 10:37:30,1.39%
2025-04-03 10:37:40,1.42%
2025-04-03 10:37:50,1.37%
2025-04-03 10:38:00,1.36%
2025-04-03 10:38:10,1.40%
2025-04-03 10:38:20,1.41%
2025-04-03 10:38:30,1.40%
2025-04-03 10:38:40,1.37%
2025-04-03 10:38:50,1.30%
2025-04-03 10:39:00,1.40%
2025-04-03 10:39:10,1.42%
2025-04-03 10:39:20,1.43%
2025-04-03 10:39:30,1.40%
2025-04-03 10:39:40,1.36%
2025-04-03 10:39:50,1.30%
2025-04-03 10:40:00,1.31%
2025-04-03 10:40:10,1.30%
2025-04-03 10:40:20,1.37%
2025-04-03 10:40:30,1.37%
2025-04-03 10:40:40,1.40%
2025-04-03 10:40:50,1.35%
2025-04-03 10:41:00,1.36%
2025-04-03 10:41:10,1.35%
2025-04-03 10:41:20,1.39%
2025-04-03 10:41:30,1.41%
2025-04-03 10:41:40,1.39%
2025-04-03 10:41:50,1.38%
