"Time","GraphQL server"
2025-04-03 10:43:20,4.64%
2025-04-03 10:43:30,6.80%
2025-04-03 10:43:40,6.65%
2025-04-03 10:43:50,6.86%
2025-04-03 10:44:00,6.68%
2025-04-03 10:44:10,6.69%
2025-04-03 10:44:20,6.67%
2025-04-03 10:44:30,6.90%
2025-04-03 10:44:40,6.64%
2025-04-03 10:44:50,6.65%
2025-04-03 10:45:00,6.65%
2025-04-03 10:45:10,6.68%
2025-04-03 10:45:20,7.11%
2025-04-03 10:45:30,6.64%
2025-04-03 10:45:40,6.63%
2025-04-03 10:45:50,6.63%
2025-04-03 10:46:00,6.67%
2025-04-03 10:46:10,6.66%
2025-04-03 10:46:20,6.65%
2025-04-03 10:46:30,7.14%
2025-04-03 10:46:40,6.64%
2025-04-03 10:46:50,6.65%
2025-04-03 10:47:00,6.67%
2025-04-03 10:47:10,6.68%
2025-04-03 10:47:20,7.32%
2025-04-03 10:47:30,6.65%
2025-04-03 10:47:40,6.64%
2025-04-03 10:47:50,6.62%
2025-04-03 10:48:00,6.63%
2025-04-03 10:48:10,6.64%
2025-04-03 10:48:20,7.38%
