"Time","Grouped CPU Load"
2025-04-03 09:49:50,6.86%
2025-04-03 09:50:00,9.36%
2025-04-03 09:50:10,9.45%
2025-04-03 09:50:20,9.38%
2025-04-03 09:50:30,9.29%
2025-04-03 09:50:40,9.46%
2025-04-03 09:50:50,9.24%
2025-04-03 09:51:00,9.51%
2025-04-03 09:51:10,9.30%
2025-04-03 09:51:20,9.58%
2025-04-03 09:51:30,9.27%
2025-04-03 09:51:40,9.25%
2025-04-03 09:51:50,9.55%
2025-04-03 09:52:00,9.26%
2025-04-03 09:52:10,9.60%
2025-04-03 09:52:20,9.27%
2025-04-03 09:52:30,9.14%
2025-04-03 09:52:40,9.53%
2025-04-03 09:52:50,9.20%
2025-04-03 09:53:00,9.17%
2025-04-03 09:53:10,9.56%
2025-04-03 09:53:20,9.21%
2025-04-03 09:53:30,9.15%
2025-04-03 09:53:40,9.53%
2025-04-03 09:53:50,9.25%
2025-04-03 09:54:00,9.19%
2025-04-03 09:54:10,9.13%
2025-04-03 09:54:20,9.60%
2025-04-03 09:54:30,9.21%
2025-04-03 09:54:40,9.29%
2025-04-03 09:54:50,9.26%
