"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 09:57:30,23.4 W
2025-04-03 09:57:31,23.2 W
2025-04-03 09:57:31,23.1 W
2025-04-03 09:57:32,24.4 W
2025-04-03 09:57:32,23.2 W
2025-04-03 09:57:33,23.9 W
2025-04-03 09:57:33,23.0 W
2025-04-03 09:57:34,23.5 W
2025-04-03 09:57:34,23.3 W
2025-04-03 09:57:35,23.5 W
2025-04-03 09:57:35,23.8 W
2025-04-03 09:57:36,23.2 W
2025-04-03 09:57:36,24.5 W
2025-04-03 09:57:37,23.2 W
2025-04-03 09:57:37,24.4 W
2025-04-03 09:57:38,26.4 W
2025-04-03 09:57:38,25.8 W
2025-04-03 09:57:39,26.2 W
2025-04-03 09:57:39,25.8 W
2025-04-03 09:57:40,25.3 W
2025-04-03 09:57:40,25.5 W
2025-04-03 09:57:41,24.6 W
2025-04-03 09:57:41,23.0 W
2025-04-03 09:57:42,23.6 W
2025-04-03 09:57:42,23.5 W
2025-04-03 09:57:43,23.3 W
2025-04-03 09:57:43,24.1 W
2025-04-03 09:57:44,26.0 W
2025-04-03 09:57:44,26.3 W
2025-04-03 09:57:45,26.3 W
2025-04-03 09:57:45,25.1 W
2025-04-03 09:57:46,26.0 W
2025-04-03 09:57:46,25.4 W
2025-04-03 09:57:47,25.8 W
2025-04-03 09:57:47,23.8 W
2025-04-03 09:57:48,24.1 W
2025-04-03 09:57:48,25.2 W
2025-04-03 09:57:49,24.3 W
2025-04-03 09:57:49,24.5 W
2025-04-03 09:57:50,23.4 W
2025-04-03 09:57:50,23.8 W
2025-04-03 09:57:51,23.0 W
2025-04-03 09:57:51,23.2 W
2025-04-03 09:57:52,23.4 W
2025-04-03 09:57:52,23.4 W
2025-04-03 09:57:53,23.5 W
2025-04-03 09:57:53,23.5 W
2025-04-03 09:57:54,23.9 W
2025-04-03 09:57:54,23.2 W
2025-04-03 09:57:55,23.9 W
2025-04-03 09:57:55,23.7 W
2025-04-03 09:57:56,23.5 W
2025-04-03 09:57:56,23.3 W
2025-04-03 09:57:57,23.6 W
2025-04-03 09:57:57,23.2 W
2025-04-03 09:57:58,24.5 W
2025-04-03 09:57:58,23.3 W
