"Time","Postgres"
2025-04-03 09:49:50,0.0154%
2025-04-03 09:50:00,0.0242%
2025-04-03 09:50:10,0.0249%
2025-04-03 09:50:20,0.0246%
2025-04-03 09:50:30,0.0252%
2025-04-03 09:50:40,0.0237%
2025-04-03 09:50:50,0.0269%
2025-04-03 09:51:00,0.0223%
2025-04-03 09:51:10,0.0247%
2025-04-03 09:51:20,0.0527%
2025-04-03 09:51:30,0.0241%
2025-04-03 09:51:40,0.0229%
2025-04-03 09:51:50,0.0243%
2025-04-03 09:52:00,0.0224%
2025-04-03 09:52:10,0.0241%
2025-04-03 09:52:20,0.0220%
2025-04-03 09:52:30,0.0267%
2025-04-03 09:52:40,0.0222%
2025-04-03 09:52:50,0.0252%
2025-04-03 09:53:00,0.0239%
2025-04-03 09:53:10,0.0238%
2025-04-03 09:53:20,0.0227%
2025-04-03 09:53:30,0.0266%
2025-04-03 09:53:40,0.0235%
2025-04-03 09:53:50,0.0236%
2025-04-03 09:54:00,0.0229%
2025-04-03 09:54:10,0.0269%
2025-04-03 09:54:20,0.0215%
2025-04-03 09:54:30,0.0243%
2025-04-03 09:54:40,0.0211%
2025-04-03 09:54:50,0.0234%
