"Time","Redis"
2025-04-03 09:49:50,1.29%
2025-04-03 09:50:00,2.11%
2025-04-03 09:50:10,2.13%
2025-04-03 09:50:20,2.04%
2025-04-03 09:50:30,2.11%
2025-04-03 09:50:40,2.10%
2025-04-03 09:50:50,2.04%
2025-04-03 09:51:00,2.15%
2025-04-03 09:51:10,2.15%
2025-04-03 09:51:20,2.10%
2025-04-03 09:51:30,2.10%
2025-04-03 09:51:40,2.09%
2025-04-03 09:51:50,2.09%
2025-04-03 09:52:00,2.09%
2025-04-03 09:52:10,2.07%
2025-04-03 09:52:20,2.10%
2025-04-03 09:52:30,1.94%
2025-04-03 09:52:40,2.04%
2025-04-03 09:52:50,1.99%
2025-04-03 09:53:00,1.98%
2025-04-03 09:53:10,2.08%
2025-04-03 09:53:20,2.02%
2025-04-03 09:53:30,1.95%
2025-04-03 09:53:40,1.95%
2025-04-03 09:53:50,2.10%
2025-04-03 09:54:00,2.01%
2025-04-03 09:54:10,1.94%
2025-04-03 09:54:20,2.09%
2025-04-03 09:54:30,2.04%
2025-04-03 09:54:40,2.15%
2025-04-03 09:54:50,2.11%
