"Time","GraphQL server"
2025-04-03 09:49:50,5.56%
2025-04-03 09:50:00,7.23%
2025-04-03 09:50:10,7.30%
2025-04-03 09:50:20,7.32%
2025-04-03 09:50:30,7.15%
2025-04-03 09:50:40,7.33%
2025-04-03 09:50:50,7.18%
2025-04-03 09:51:00,7.34%
2025-04-03 09:51:10,7.12%
2025-04-03 09:51:20,7.42%
2025-04-03 09:51:30,7.14%
2025-04-03 09:51:40,7.15%
2025-04-03 09:51:50,7.44%
2025-04-03 09:52:00,7.14%
2025-04-03 09:52:10,7.52%
2025-04-03 09:52:20,7.15%
2025-04-03 09:52:30,7.17%
2025-04-03 09:52:40,7.47%
2025-04-03 09:52:50,7.18%
2025-04-03 09:53:00,7.16%
2025-04-03 09:53:10,7.45%
2025-04-03 09:53:20,7.16%
2025-04-03 09:53:30,7.17%
2025-04-03 09:53:40,7.55%
2025-04-03 09:53:50,7.13%
2025-04-03 09:54:00,7.16%
2025-04-03 09:54:10,7.16%
2025-04-03 09:54:20,7.49%
2025-04-03 09:54:30,7.15%
2025-04-03 09:54:40,7.12%
2025-04-03 09:54:50,7.13%
