"Time","Grouped CPU Load"
2025-04-03 10:57:10,20.2%
2025-04-03 10:57:20,28.6%
2025-04-03 10:57:30,28.0%
2025-04-03 10:57:40,28.7%
2025-04-03 10:57:50,27.7%
2025-04-03 10:58:00,28.0%
2025-04-03 10:58:10,27.5%
2025-04-03 10:58:20,28.1%
2025-04-03 10:58:30,28.4%
2025-04-03 10:58:40,27.7%
2025-04-03 10:58:50,28.8%
2025-04-03 10:59:00,27.4%
2025-04-03 10:59:10,28.3%
2025-04-03 10:59:20,28.2%
2025-04-03 10:59:30,28.0%
2025-04-03 10:59:40,29.1%
2025-04-03 10:59:50,28.2%
2025-04-03 11:00:00,28.7%
2025-04-03 11:00:10,28.8%
2025-04-03 11:00:20,27.0%
2025-04-03 11:00:30,28.9%
2025-04-03 11:00:40,28.8%
2025-04-03 11:00:50,27.3%
2025-04-03 11:01:00,28.3%
2025-04-03 11:01:10,28.4%
2025-04-03 11:01:20,27.3%
2025-04-03 11:01:30,27.2%
2025-04-03 11:01:40,28.7%
2025-04-03 11:01:50,29.2%
2025-04-03 11:02:00,27.6%
2025-04-03 11:02:10,28.6%
