"Time","power {formula=""RAPL_ENERGY_PKG"", ratio=""1.0"", scope=""cpu"", sensor=""sensor"", socket=""0"", target=""rapl""}"
2025-04-03 12:03:30,32.6 W
2025-04-03 12:03:31,32.5 W
2025-04-03 12:03:31,31.9 W
2025-04-03 12:03:32,31.5 W
2025-04-03 12:03:32,32.0 W
2025-04-03 12:03:33,32.3 W
2025-04-03 12:03:33,32.0 W
2025-04-03 12:03:34,32.3 W
2025-04-03 12:03:34,31.5 W
2025-04-03 12:03:35,31.8 W
2025-04-03 12:03:35,32.2 W
2025-04-03 12:03:36,33.0 W
2025-04-03 12:03:36,31.9 W
2025-04-03 12:03:37,32.9 W
2025-04-03 12:03:37,33.2 W
2025-04-03 12:03:38,32.0 W
2025-04-03 12:03:38,32.5 W
2025-04-03 12:03:39,32.3 W
2025-04-03 12:03:39,31.5 W
2025-04-03 12:03:40,31.6 W
2025-04-03 12:03:40,32.3 W
2025-04-03 12:03:41,32.5 W
2025-04-03 12:03:41,31.9 W
2025-04-03 12:03:42,33.0 W
2025-04-03 12:03:42,32.3 W
2025-04-03 12:03:43,32.7 W
2025-04-03 12:03:43,32.5 W
2025-04-03 12:03:44,31.9 W
2025-04-03 12:03:44,32.2 W
2025-04-03 12:03:45,31.8 W
2025-04-03 12:03:45,32.3 W
2025-04-03 12:03:46,32.2 W
2025-04-03 12:03:46,32.6 W
2025-04-03 12:03:47,32.2 W
2025-04-03 12:03:47,31.8 W
2025-04-03 12:03:48,32.0 W
2025-04-03 12:03:48,31.4 W
2025-04-03 12:03:49,31.3 W
2025-04-03 12:03:49,31.0 W
2025-04-03 12:03:50,31.6 W
2025-04-03 12:03:50,32.2 W
2025-04-03 12:03:51,31.9 W
2025-04-03 12:03:51,31.8 W
2025-04-03 12:03:52,32.1 W
2025-04-03 12:03:52,31.7 W
2025-04-03 12:03:53,32.2 W
2025-04-03 12:03:53,31.5 W
2025-04-03 12:03:54,32.1 W
2025-04-03 12:03:54,31.8 W
2025-04-03 12:03:55,32.1 W
2025-04-03 12:03:55,31.9 W
2025-04-03 12:03:56,32.9 W
2025-04-03 12:03:56,31.6 W
2025-04-03 12:03:57,31.6 W
2025-04-03 12:03:57,31.9 W
2025-04-03 12:03:58,31.8 W
2025-04-03 12:03:58,31.8 W
2025-04-03 12:03:59,31.3 W
2025-04-03 12:03:59,33.1 W
2025-04-03 12:04:00,33.0 W
2025-04-03 12:04:00,32.7 W
2025-04-03 12:04:01,33.9 W
2025-04-03 12:04:01,32.4 W
2025-04-03 12:04:02,32.1 W
2025-04-03 12:04:02,31.4 W
2025-04-03 12:04:03,32.4 W
2025-04-03 12:04:03,31.3 W
2025-04-03 12:04:04,32.4 W
2025-04-03 12:04:04,32.1 W
2025-04-03 12:04:05,32.2 W
2025-04-03 12:04:05,32.9 W
2025-04-03 12:04:06,31.8 W
2025-04-03 12:04:06,31.3 W
2025-04-03 12:04:07,32.7 W
2025-04-03 12:04:07,32.6 W
2025-04-03 12:04:08,32.2 W
2025-04-03 12:04:08,31.7 W
2025-04-03 12:04:09,33.0 W
2025-04-03 12:04:09,30.5 W
2025-04-03 12:04:10,32.9 W
2025-04-03 12:04:10,31.1 W
2025-04-03 12:04:11,31.7 W
2025-04-03 12:04:11,31.3 W
2025-04-03 12:04:12,31.7 W
2025-04-03 12:04:12,31.0 W
2025-04-03 12:04:13,31.6 W
2025-04-03 12:04:13,31.1 W
2025-04-03 12:04:14,30.9 W
2025-04-03 12:04:14,33.0 W
2025-04-03 12:04:15,33.3 W
2025-04-03 12:04:15,33.7 W
2025-04-03 12:04:16,33.6 W
2025-04-03 12:04:16,34.2 W
2025-04-03 12:04:17,34.8 W
2025-04-03 12:04:17,37.6 W
2025-04-03 12:04:18,36.8 W
2025-04-03 12:04:18,38.8 W
2025-04-03 12:04:19,37.7 W
2025-04-03 12:04:19,37.5 W
2025-04-03 12:04:20,37.6 W
2025-04-03 12:04:20,37.6 W
2025-04-03 12:04:21,36.3 W
2025-04-03 12:04:21,35.5 W
2025-04-03 12:04:22,32.1 W
2025-04-03 12:04:22,33.1 W
2025-04-03 12:04:23,32.4 W
2025-04-03 12:04:23,32.6 W
2025-04-03 12:04:24,32.5 W
2025-04-03 12:04:24,32.0 W
2025-04-03 12:04:25,32.5 W
2025-04-03 12:04:25,31.1 W
2025-04-03 12:04:26,33.3 W
2025-04-03 12:04:26,31.5 W
2025-04-03 12:04:27,32.0 W
2025-04-03 12:04:27,32.9 W
2025-04-03 12:04:28,32.8 W
2025-04-03 12:04:28,31.0 W
2025-04-03 12:04:29,31.7 W
2025-04-03 12:04:29,32.0 W
2025-04-03 12:04:30,33.7 W
2025-04-03 12:04:30,33.4 W
2025-04-03 12:04:31,32.3 W
2025-04-03 12:04:31,32.6 W
2025-04-03 12:04:32,31.8 W
2025-04-03 12:04:32,32.2 W
2025-04-03 12:04:33,32.9 W
2025-04-03 12:04:33,32.4 W
2025-04-03 12:04:34,32.5 W
2025-04-03 12:04:34,32.2 W
2025-04-03 12:04:35,33.0 W
2025-04-03 12:04:35,32.6 W
2025-04-03 12:04:36,31.0 W
2025-04-03 12:04:36,32.0 W
2025-04-03 12:04:37,32.6 W
2025-04-03 12:04:37,32.7 W
2025-04-03 12:04:38,31.0 W
2025-04-03 12:04:38,32.6 W
2025-04-03 12:04:39,32.7 W
2025-04-03 12:04:39,32.8 W
2025-04-03 12:04:40,32.9 W
2025-04-03 12:04:40,32.2 W
2025-04-03 12:04:41,33.2 W
2025-04-03 12:04:41,32.6 W
2025-04-03 12:04:42,32.1 W
2025-04-03 12:04:42,32.6 W
2025-04-03 12:04:43,32.1 W
2025-04-03 12:04:43,32.6 W
2025-04-03 12:04:44,32.1 W
2025-04-03 12:04:44,32.7 W
2025-04-03 12:04:45,33.3 W
2025-04-03 12:04:45,32.5 W
2025-04-03 12:04:46,31.7 W
2025-04-03 12:04:46,32.3 W
2025-04-03 12:04:47,31.8 W
2025-04-03 12:04:47,32.2 W
2025-04-03 12:04:48,31.5 W
2025-04-03 12:04:48,31.4 W
2025-04-03 12:04:49,32.4 W
2025-04-03 12:04:49,32.0 W
2025-04-03 12:04:50,31.7 W
2025-04-03 12:04:50,32.1 W
2025-04-03 12:04:51,32.4 W
2025-04-03 12:04:51,31.5 W
2025-04-03 12:04:52,31.1 W
2025-04-03 12:04:52,32.0 W
2025-04-03 12:04:53,31.4 W
2025-04-03 12:04:53,31.7 W
2025-04-03 12:04:54,31.9 W
2025-04-03 12:04:54,32.0 W
2025-04-03 12:04:55,32.0 W
2025-04-03 12:04:55,33.1 W
2025-04-03 12:04:56,32.0 W
2025-04-03 12:04:56,31.5 W
2025-04-03 12:04:57,32.5 W
2025-04-03 12:04:57,32.2 W
2025-04-03 12:04:58,31.5 W
2025-04-03 12:04:58,31.8 W
2025-04-03 12:04:59,31.5 W
2025-04-03 12:04:59,32.1 W
2025-04-03 12:05:00,33.3 W
2025-04-03 12:05:00,31.8 W
2025-04-03 12:05:01,31.6 W
2025-04-03 12:05:01,31.6 W
2025-04-03 12:05:02,32.9 W
2025-04-03 12:05:02,33.0 W
2025-04-03 12:05:03,32.7 W
2025-04-03 12:05:03,32.7 W
2025-04-03 12:05:04,33.2 W
2025-04-03 12:05:04,32.6 W
2025-04-03 12:05:05,32.5 W
2025-04-03 12:05:05,32.6 W
2025-04-03 12:05:06,33.1 W
2025-04-03 12:05:06,32.6 W
2025-04-03 12:05:07,32.5 W
2025-04-03 12:05:07,32.1 W
2025-04-03 12:05:08,32.8 W
2025-04-03 12:05:08,33.3 W
2025-04-03 12:05:09,32.6 W
2025-04-03 12:05:09,32.1 W
2025-04-03 12:05:10,32.4 W
2025-04-03 12:05:10,32.2 W
2025-04-03 12:05:11,32.2 W
2025-04-03 12:05:11,31.9 W
2025-04-03 12:05:12,33.2 W
2025-04-03 12:05:12,32.9 W
2025-04-03 12:05:13,32.4 W
2025-04-03 12:05:13,32.5 W
2025-04-03 12:05:14,32.8 W
2025-04-03 12:05:14,32.5 W
2025-04-03 12:05:15,32.4 W
2025-04-03 12:05:15,32.7 W
2025-04-03 12:05:16,32.2 W
2025-04-03 12:05:16,32.8 W
2025-04-03 12:05:17,33.1 W
2025-04-03 12:05:17,34.6 W
2025-04-03 12:05:18,33.1 W
2025-04-03 12:05:18,33.1 W
2025-04-03 12:05:19,33.9 W
2025-04-03 12:05:19,32.1 W
2025-04-03 12:05:20,31.7 W
2025-04-03 12:05:20,31.9 W
2025-04-03 12:05:21,32.3 W
2025-04-03 12:05:21,31.9 W
2025-04-03 12:05:22,32.3 W
2025-04-03 12:05:22,32.2 W
2025-04-03 12:05:23,32.2 W
2025-04-03 12:05:23,29.9 W
2025-04-03 12:05:24,29.1 W
2025-04-03 12:05:24,29.5 W
2025-04-03 12:05:25,30.1 W
2025-04-03 12:05:25,29.7 W
2025-04-03 12:05:26,31.1 W
2025-04-03 12:05:26,29.1 W
2025-04-03 12:05:27,30.2 W
2025-04-03 12:05:27,29.9 W
2025-04-03 12:05:28,29.4 W
2025-04-03 12:05:28,29.3 W
2025-04-03 12:05:29,30.8 W
2025-04-03 12:05:29,31.3 W
2025-04-03 12:05:30,31.0 W
2025-04-03 12:05:30,30.7 W
2025-04-03 12:05:31,31.6 W
2025-04-03 12:05:31,30.3 W
2025-04-03 12:05:32,31.2 W
2025-04-03 12:05:32,31.2 W
2025-04-03 12:05:33,31.1 W
2025-04-03 12:05:33,30.3 W
2025-04-03 12:05:34,32.9 W
2025-04-03 12:05:34,30.4 W
2025-04-03 12:05:35,32.0 W
2025-04-03 12:05:35,30.2 W
2025-04-03 12:05:36,30.7 W
2025-04-03 12:05:36,30.5 W
2025-04-03 12:05:37,30.1 W
2025-04-03 12:05:37,30.3 W
2025-04-03 12:05:38,30.1 W
2025-04-03 12:05:38,30.0 W
2025-04-03 12:05:39,29.7 W
2025-04-03 12:05:39,30.1 W
2025-04-03 12:05:40,30.2 W
2025-04-03 12:05:40,31.8 W
2025-04-03 12:05:41,30.3 W
2025-04-03 12:05:41,30.1 W
2025-04-03 12:05:42,31.4 W
2025-04-03 12:05:42,31.1 W
2025-04-03 12:05:43,30.5 W
2025-04-03 12:05:43,31.7 W
2025-04-03 12:05:44,30.8 W
2025-04-03 12:05:44,29.8 W
2025-04-03 12:05:45,29.8 W
2025-04-03 12:05:45,29.5 W
2025-04-03 12:05:46,30.3 W
2025-04-03 12:05:46,30.3 W
2025-04-03 12:05:47,30.7 W
2025-04-03 12:05:47,31.1 W
2025-04-03 12:05:48,30.8 W
2025-04-03 12:05:48,30.5 W
2025-04-03 12:05:49,29.5 W
2025-04-03 12:05:49,29.5 W
2025-04-03 12:05:50,30.4 W
2025-04-03 12:05:50,31.5 W
2025-04-03 12:05:51,31.9 W
2025-04-03 12:05:51,30.3 W
2025-04-03 12:05:52,30.6 W
2025-04-03 12:05:52,31.2 W
2025-04-03 12:05:53,31.7 W
2025-04-03 12:05:53,31.4 W
2025-04-03 12:05:54,31.3 W
2025-04-03 12:05:54,31.0 W
2025-04-03 12:05:55,31.2 W
2025-04-03 12:05:55,31.5 W
2025-04-03 12:05:56,30.7 W
2025-04-03 12:05:56,30.9 W
2025-04-03 12:05:57,30.9 W
2025-04-03 12:05:57,31.6 W
2025-04-03 12:05:58,30.6 W
2025-04-03 12:05:58,30.1 W
2025-04-03 12:05:59,30.4 W
2025-04-03 12:05:59,30.9 W
2025-04-03 12:06:00,30.7 W
2025-04-03 12:06:00,32.0 W
2025-04-03 12:06:01,31.5 W
2025-04-03 12:06:01,30.7 W
2025-04-03 12:06:02,31.1 W
2025-04-03 12:06:02,31.6 W
2025-04-03 12:06:03,30.8 W
2025-04-03 12:06:03,29.8 W
2025-04-03 12:06:04,30.9 W
2025-04-03 12:06:04,31.0 W
2025-04-03 12:06:05,31.8 W
2025-04-03 12:06:05,31.4 W
2025-04-03 12:06:06,30.9 W
2025-04-03 12:06:06,30.9 W
2025-04-03 12:06:07,30.2 W
2025-04-03 12:06:07,30.1 W
2025-04-03 12:06:08,31.5 W
2025-04-03 12:06:08,30.6 W
2025-04-03 12:06:09,30.2 W
2025-04-03 12:06:09,31.0 W
2025-04-03 12:06:10,31.2 W
2025-04-03 12:06:10,31.1 W
2025-04-03 12:06:11,30.9 W
2025-04-03 12:06:11,29.3 W
2025-04-03 12:06:12,29.1 W
2025-04-03 12:06:12,29.2 W
2025-04-03 12:06:13,28.6 W
2025-04-03 12:06:13,29.3 W
2025-04-03 12:06:14,28.8 W
2025-04-03 12:06:14,29.2 W
2025-04-03 12:06:15,29.3 W
2025-04-03 12:06:15,29.5 W
2025-04-03 12:06:16,29.1 W
2025-04-03 12:06:16,29.5 W
2025-04-03 12:06:17,29.6 W
2025-04-03 12:06:17,29.7 W
2025-04-03 12:06:18,30.6 W
2025-04-03 12:06:18,30.9 W
2025-04-03 12:06:19,30.9 W
