"Time","Postgres"
2025-04-03 12:09:40,1.95%
2025-04-03 12:09:50,1.81%
2025-04-03 12:10:00,1.90%
2025-04-03 12:10:10,1.84%
2025-04-03 12:10:20,1.92%
2025-04-03 12:10:30,1.83%
2025-04-03 12:10:40,1.90%
2025-04-03 12:10:50,1.82%
2025-04-03 12:11:00,1.89%
2025-04-03 12:11:10,1.94%
2025-04-03 12:11:20,1.91%
2025-04-03 12:11:30,1.89%
2025-04-03 12:11:40,1.78%
2025-04-03 12:11:50,1.88%
2025-04-03 12:12:00,1.78%
2025-04-03 12:12:10,1.74%
2025-04-03 12:12:20,1.86%
2025-04-03 12:12:30,1.80%
2025-04-03 12:12:40,1.74%
2025-04-03 12:12:50,1.85%
2025-04-03 12:13:00,1.78%
2025-04-03 12:13:10,1.73%
2025-04-03 12:13:20,1.83%
2025-04-03 12:13:30,1.88%
2025-04-03 12:13:40,1.80%
2025-04-03 12:13:50,1.85%
2025-04-03 12:14:00,1.88%
2025-04-03 12:14:10,1.75%
2025-04-03 12:14:20,1.74%
2025-04-03 12:14:30,1.87%
2025-04-03 12:14:40,1.89%
