"Time","Redis"
2025-04-03 12:03:30,0.0109%
2025-04-03 12:03:40,0.0111%
2025-04-03 12:03:50,0.0112%
2025-04-03 12:04:00,0.0109%
2025-04-03 12:04:10,0.0114%
2025-04-03 12:04:20,0.0109%
2025-04-03 12:04:30,0.0118%
2025-04-03 12:04:40,0.0111%
2025-04-03 12:04:50,0.0108%
2025-04-03 12:05:00,0.0113%
2025-04-03 12:05:10,0.0112%
2025-04-03 12:05:20,0.0111%
2025-04-03 12:05:30,0.0109%
2025-04-03 12:05:40,0.0111%
2025-04-03 12:05:50,0.0111%
2025-04-03 12:06:00,0.0110%
2025-04-03 12:06:10,0.0113%
2025-04-03 12:06:20,0.0109%
2025-04-03 12:06:30,0.0110%
2025-04-03 12:06:40,0.0110%
2025-04-03 12:06:50,0.0107%
2025-04-03 12:07:00,0.0102%
2025-04-03 12:07:10,0.0104%
2025-04-03 12:07:20,0.0106%
2025-04-03 12:07:30,0.0113%
2025-04-03 12:07:40,0.0110%
2025-04-03 12:07:50,0.0112%
2025-04-03 12:08:00,0.0112%
2025-04-03 12:08:10,0.0112%
2025-04-03 12:08:20,0.0110%
2025-04-03 12:08:30,0.0109%
