"Time","GraphQL server"
2025-04-03 10:57:10,18.7%
2025-04-03 10:57:20,26.8%
2025-04-03 10:57:30,26.1%
2025-04-03 10:57:40,26.9%
2025-04-03 10:57:50,25.8%
2025-04-03 10:58:00,26.1%
2025-04-03 10:58:10,25.6%
2025-04-03 10:58:20,26.3%
2025-04-03 10:58:30,26.6%
2025-04-03 10:58:40,25.8%
2025-04-03 10:58:50,27.0%
2025-04-03 10:59:00,25.5%
2025-04-03 10:59:10,26.5%
2025-04-03 10:59:20,26.3%
2025-04-03 10:59:30,26.2%
2025-04-03 10:59:40,27.4%
2025-04-03 10:59:50,26.3%
2025-04-03 11:00:00,26.9%
2025-04-03 11:00:10,27.0%
2025-04-03 11:00:20,25.1%
2025-04-03 11:00:30,27.1%
2025-04-03 11:00:40,27.1%
2025-04-03 11:00:50,25.4%
2025-04-03 11:01:00,26.5%
2025-04-03 11:01:10,26.7%
2025-04-03 11:01:20,25.4%
2025-04-03 11:01:30,25.4%
2025-04-03 11:01:40,26.9%
2025-04-03 11:01:50,27.4%
2025-04-03 11:02:00,25.7%
2025-04-03 11:02:10,26.8%
