"Time","Postgres"
2025-04-03 13:31:00,0.676%
2025-04-03 13:31:10,1.34%
2025-04-03 13:31:20,1.44%
2025-04-03 13:31:30,1.46%
2025-04-03 13:31:40,1.41%
2025-04-03 13:31:50,1.43%
2025-04-03 13:32:00,1.44%
2025-04-03 13:32:10,1.50%
2025-04-03 13:32:20,1.52%
2025-04-03 13:32:30,1.54%
2025-04-03 13:32:40,1.53%
2025-04-03 13:32:50,1.50%
2025-04-03 13:33:00,1.53%
2025-04-03 13:33:10,1.57%
2025-04-03 13:33:20,1.50%
2025-04-03 13:33:30,1.50%
2025-04-03 13:33:40,1.47%
2025-04-03 13:33:50,1.48%
2025-04-03 13:34:00,1.51%
2025-04-03 13:34:10,1.53%
2025-04-03 13:34:20,1.56%
2025-04-03 13:34:30,1.51%
2025-04-03 13:34:40,1.53%
2025-04-03 13:34:50,1.55%
2025-04-03 13:35:00,1.54%
2025-04-03 13:35:10,1.53%
2025-04-03 13:35:20,1.50%
2025-04-03 13:35:30,1.51%
2025-04-03 13:35:40,1.51%
2025-04-03 13:35:50,1.51%
2025-04-03 13:36:00,1.66%
