"Time","Redis"
2025-04-03 13:16:40,0.0101%
2025-04-03 13:16:50,0.0111%
2025-04-03 13:17:00,0.0108%
2025-04-03 13:17:10,0.0111%
2025-04-03 13:17:20,0.0112%
2025-04-03 13:17:30,0.0111%
2025-04-03 13:17:40,0.0113%
2025-04-03 13:17:50,0.0110%
2025-04-03 13:18:00,0.0111%
2025-04-03 13:18:10,0.0113%
2025-04-03 13:18:20,0.0126%
2025-04-03 13:18:30,0.0123%
2025-04-03 13:18:40,0.0120%
2025-04-03 13:18:50,0.0120%
2025-04-03 13:19:00,0.0122%
2025-04-03 13:19:10,0.0122%
2025-04-03 13:19:20,0.0119%
2025-04-03 13:19:30,0.0117%
2025-04-03 13:19:40,0.0113%
2025-04-03 13:19:50,0.0124%
2025-04-03 13:20:00,0.0120%
2025-04-03 13:20:10,0.0121%
2025-04-03 13:20:20,0.0118%
2025-04-03 13:20:30,0.0115%
2025-04-03 13:20:40,0.0117%
2025-04-03 13:20:50,0.0121%
2025-04-03 13:21:00,0.0120%
2025-04-03 13:21:10,0.0112%
2025-04-03 13:21:20,0.0115%
2025-04-03 13:21:30,0.0116%
2025-04-03 13:21:40,0.0112%
