"Time","GraphQL server"
2025-04-03 13:23:20,60.9%
2025-04-03 13:23:30,58.6%
2025-04-03 13:23:40,60.0%
2025-04-03 13:23:50,58.7%
2025-04-03 13:24:00,58.6%
2025-04-03 13:24:10,59.0%
2025-04-03 13:24:20,57.9%
2025-04-03 13:24:30,58.3%
2025-04-03 13:24:40,57.1%
2025-04-03 13:24:50,57.1%
2025-04-03 13:25:00,56.5%
2025-04-03 13:25:10,58.3%
2025-04-03 13:25:20,61.0%
2025-04-03 13:25:30,63.7%
2025-04-03 13:25:40,57.4%
2025-04-03 13:25:50,60.1%
2025-04-03 13:26:00,56.9%
2025-04-03 13:26:10,57.6%
2025-04-03 13:26:20,57.9%
2025-04-03 13:26:30,58.0%
2025-04-03 13:26:40,59.4%
2025-04-03 13:26:50,60.1%
2025-04-03 13:27:00,62.7%
2025-04-03 13:27:10,60.7%
2025-04-03 13:27:20,60.7%
2025-04-03 13:27:30,61.0%
2025-04-03 13:27:40,59.3%
2025-04-03 13:27:50,57.2%
2025-04-03 13:28:00,57.7%
2025-04-03 13:28:10,61.1%
2025-04-03 13:28:20,62.5%
