"Time","Grouped CPU Load"
2025-04-03 12:55:20,44.1%
2025-04-03 12:55:30,62.5%
2025-04-03 12:55:40,69.0%
2025-04-03 12:55:50,65.5%
2025-04-03 12:56:00,60.7%
2025-04-03 12:56:10,64.5%
2025-04-03 12:56:20,62.5%
2025-04-03 12:56:30,63.8%
2025-04-03 12:56:40,65.2%
2025-04-03 12:56:50,62.4%
2025-04-03 12:57:00,63.6%
2025-04-03 12:57:10,63.9%
2025-04-03 12:57:20,64.7%
2025-04-03 12:57:30,64.4%
2025-04-03 12:57:40,66.8%
2025-04-03 12:57:50,63.3%
2025-04-03 12:58:00,62.4%
2025-04-03 12:58:10,63.3%
2025-04-03 12:58:20,62.8%
2025-04-03 12:58:30,63.6%
2025-04-03 12:58:40,65.0%
2025-04-03 12:58:50,63.4%
2025-04-03 12:59:00,62.7%
2025-04-03 12:59:10,62.5%
2025-04-03 12:59:20,63.8%
2025-04-03 12:59:30,64.0%
2025-04-03 12:59:40,63.5%
2025-04-03 12:59:50,63.0%
2025-04-03 13:00:00,64.2%
2025-04-03 13:00:10,62.8%
2025-04-03 13:00:20,64.2%
